month,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1601930047547834,0.0,0.0,0.14691586510282997,0.0029713966503880735,0.016631441248536154,0.1525422596425329,0.051239069863822366,0.020466212729275797,0.10839793406865238,0.06535126578228015,0.02765749130794014,0.15614869630556638,0.17337135274003226,0.38758984949092923,0.15779177924506224
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3249467817422906,0.0,0.0971072374504874,0.05667855582445188,0.092166164158344,0.1078608380446547,0.10916493201299869,0.39458949462021864,0.010617317731571542,0.09114058104281009,0.0,0.054332344610193775,0.48486841366719363,0.04434821256899527,0.11722194977919678,0.13333324753519507
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33853624739934085,0.09984272440730098,0.015137601857504747,0.05331930577087228,0.1236938876766366,0.11286311092787192,0.17503789678794165,0.6256198600168043,0.008367930275177545,0.34117396854999915,0.2046571923538546,0.3799982719602084,0.2893754469033285,0.2833022146317504,0.27371364902739936,0.2727466200117617
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3981467037480363,0.4427186809297021,0.6163020839678074,0.672632948730534,0.16834611389824322,0.07330974880475032,0.20925192629346143,0.09897114832780589,0.8452322002925744,0.7938125452167923,0.17097134049668486,1.1693046227349513,0.7785807058386939,0.32784052268173913,0.01645826691787305,1.0033141185052437
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0037857968989705617,0.027410216042853715,1.2623377501728354,1.3994342456647433,0.7951191472255511,0.12067100582613577,0.40545095787811514,0.2884022401311807,1.2656795684109827,0.18486402117991854,0.13383497370275851,0.6346140111747994,0.45654097753293804,1.4072159567036937,0.17545401385975049,0.8930109152529089
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.3213276682032783,0.2441910152546927,0.08593827736876115,0.0,0.11913526643241173,0.7613737237149912,0.3982174644841855,1.205254937235886,0.012250517446814583,3.947126039186445,0.6243213253278801,0.715057466706439,0.031090420806181702,0.711490168199552,2.1574575739180655
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6601113141806904,0.5883051690155674,0.9763396751695834,0.16205008376694044,0.6334797867034628,0.015808528193857377,0.7662114723548776,0.0984538516961854,0.6630781009684482,0.5373023276721512,0.8808047337415075,0.9422154881483767,0.14159711406257447,3.111362334346921,0.26704069434800715,0.2422666551765436
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13469692512602213,0.685242448060809,0.32422445710303227,0.2766549568112947,0.8137420204499224,4.251874106099508,1.5158397296747055,0.7524200458111165,2.5096316595090005,0.0,2.5405534842983952,0.6951790038350746,0.07323931701119697,1.1055495598549228,0.7228937961113278,0.411401831720826
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34946111813746017,0.05530263288591928,0.0054809736713535675,0.403216458400074,0.007447864634160449,0.4186437900342443,0.9260785971728372,0.10091068702911035,0.15895596287000383,1.9557598660236513,2.488060216240519,0.06936012893691225,0.02214890504565987,0.579442819408784,2.1625095667208694,0.09956906130161586
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2656356746742739,0.3334924403554779,0.1285801851394901,0.007487748794256187,0.00013450777313761636,0.13774155378900466,0.09423252393005954,0.07371214284314317,0.04150408200670943,0.21794337403932745,0.12757717209270736,0.5090460967207356,0.617404368371921,0.9401880662288562,0.6228026720783967,0.017105415830639056
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.44074432880919523,0.006966004506358747,0.0,0.06584782552977053,0.0038804024918287594,0.22870790113111383,0.002562471616231383,0.2805106674749501,0.15608711961581961,0.00042105603289452147,0.20867168483999574,0.4300978408426662,0.30707196996085234,0.2735687961443073,0.3609168668097282
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12385553826605424,0.04063867963956441,0.03702868434535227,0.04348626007967894,0.0,0.11437188372678485,0.08633093859866091,0.12137426339789598,6.195468244511397e-06,0.013720289066084974,0.046661326351025226,0.011168832097684343,0.2892813022994584,0.6578069839240203,0.015441172547232963,0.3185813321944041,0.017213527923691033
