Year: 2023  Month: 04  ID: LR2  ARGOS: 21360  Name: Laurie II           
Lat: 77.43S  Lon: 170.75E  Elev:   34m
2023  91  4  1 0000  -29.4 1009.1    2.5   86.0   85.2  444.0
2023  91  4  1 0100  -26.1 1009.0    1.8   79.0   89.2  444.0
2023  91  4  1 0200  -25.1 1009.6    2.1   74.0   88.8  444.0
2023  91  4  1 0300  -23.2 1009.5    1.9   66.0   91.0  444.0
2023  91  4  1 0400  -27.0 1009.3    1.0   84.0   86.6  444.0
2023  91  4  1 0500  -22.5 1009.2    2.1   46.0   91.0  444.0
2023  91  4  1 0600  -21.9 1009.2    1.8   27.0   90.1  444.0
2023  91  4  1 0700  -20.4 1008.9    1.6   10.0   94.5  444.0
2023  91  4  1 0800  -21.0 1008.8    1.2   13.0   91.8  444.0
2023  91  4  1 0900  -22.2 1008.7    0.6   41.0   90.1  444.0
2023  91  4  1 1000  -20.6 1008.6    0.4   48.0   92.7  444.0
2023  91  4  1 1100  -24.0 1008.3  444.0  444.0   88.3  444.0
2023  91  4  1 1200  -23.8 1008.0  444.0  444.0   88.8  444.0
2023  91  4  1 1300  -22.1 1007.8  444.0  444.0   91.0  444.0
2023  91  4  1 1400  -23.1 1007.5  444.0  444.0   90.1  444.0
2023  91  4  1 1500  -21.0 1007.2  444.0  444.0   93.6  444.0
2023  91  4  1 1600  -19.6 1007.2  444.0  444.0   92.7  444.0
2023  91  4  1 1700  -19.6 1007.0  444.0  444.0   94.5  444.0
2023  91  4  1 1800  -21.2 1006.7  444.0  444.0   91.8  444.0
2023  91  4  1 1900  -21.4 1006.6  444.0  444.0   91.4  444.0
2023  91  4  1 2000  -22.1 1006.6  444.0  444.0   90.5  444.0
2023  91  4  1 2100  -29.6 1006.8  444.0  444.0   81.3  444.0
2023  91  4  1 2200  -32.2 1007.2  444.0  444.0   78.6  444.0
2023  91  4  1 2300  -31.0 1007.7  444.0  444.0   81.7  444.0
2023  92  4  2 0000  -31.6 1008.3  444.0  444.0   80.8  444.0
2023  92  4  2 0100  -29.8 1008.9  444.0  444.0   83.5  444.0
2023  92  4  2 0200  -28.4 1009.3  444.0  444.0   84.4  444.0
2023  92  4  2 0300  -30.2 1010.1  444.0  444.0   82.2  444.0
2023  92  4  2 0400  -31.1 1010.6  444.0  444.0   80.0  444.0
2023  92  4  2 0500  -32.0 1011.1  444.0  444.0   79.1  444.0
2023  92  4  2 0600  -32.6 1011.5  444.0  444.0   78.2  444.0
