Year: 2023  Month: 07  ID: LR2  ARGOS: 21360  Name: Laurie II           
Lat: 77.43S  Lon: 170.75E  Elev:   34m
2023 182  7  1 0000  -38.2 1008.3    2.7  121.0   71.2  444.0
2023 182  7  1 0100  -37.4 1007.0    3.9  135.0   72.0  444.0
2023 182  7  1 0200  -35.9 1006.8    4.7  124.0   73.8  444.0
2023 182  7  1 0300  -34.8 1006.4    5.1  121.0   75.6  444.0
2023 182  7  1 0400  -34.8 1006.5    4.3  129.0   74.7  444.0
2023 182  7  1 0500  -34.8 1006.2    4.9  136.0   74.7  444.0
2023 182  7  1 0600  -33.9 1005.6    5.8  141.0   76.0  444.0
2023 182  7  1 0700  -33.0 1005.1    6.2  142.0   75.1  444.0
2023 182  7  1 0800  -33.4 1005.1    6.8  134.0   75.1  444.0
2023 182  7  1 0900  -33.9 1004.6    7.2  146.0   73.8  444.0
2023 182  7  1 1000  -34.4 1004.0    7.0  162.0   73.8  444.0
2023 182  7  1 1100  -34.0 1002.8    9.9  170.0   74.7  444.0
2023 182  7  1 1200  -33.1 1002.5    9.9  157.0   76.0  444.0
2023 182  7  1 1300  -33.5 1002.4    7.8  167.0   75.1  444.0
2023 182  7  1 1400  -33.9 1002.0    9.6  167.0   75.1  444.0
2023 182  7  1 1500  -34.2 1001.8    9.9  186.0   75.1  444.0
2023 182  7  1 1600  -33.5 1001.2   15.6  188.0   76.4  444.0
2023 182  7  1 1700  -33.8 1000.2   14.8  197.0   76.4  444.0
2023 182  7  1 1800  -32.6  999.9   18.5  195.0   78.2  444.0
2023 182  7  1 1900  -33.8 1000.2   17.4  193.0   76.4  444.0
2023 182  7  1 2000  -34.1 1000.9   12.9  197.0   76.4  444.0
2023 182  7  1 2100  -34.1 1000.9   12.1  201.0   76.0  444.0
2023 182  7  1 2200  -33.9 1001.3   12.9  201.0   76.9  444.0
2023 182  7  1 2300  -33.4 1001.4   14.8  201.0   77.3  444.0
