Year: 2019  Month: 12  ID: LR2  ARGOS: 21360  Name: Laurie II         
Lat: 77.50S  Lon: 170.79E  Elev:   34m                                
2019 335 12  1 0000   -5.0  994.6    3.9  444.0   58.0  444.0
2019 335 12  1 0100   -4.2  994.4    1.9  444.0   58.4  444.0
2019 335 12  1 0200   -4.2  994.2    1.2  444.0   51.8  444.0
2019 335 12  1 0300   -3.2  994.2    1.6  444.0   49.2  444.0
2019 335 12  1 0400   -3.0  993.8    1.8  444.0   46.5  444.0
2019 335 12  1 0500  444.0  993.5    0.4  444.0   43.9  444.0
2019 335 12  1 0600  444.0  993.3    1.2  444.0   39.9  444.0
2019 335 12  1 0700  444.0  993.2    0.4  444.0   71.2  444.0
2019 335 12  1 0800   -6.2  992.9    1.9  444.0   79.1  444.0
2019 335 12  1 0900   -6.8  992.7    2.1  444.0   78.6  444.0
2019 335 12  1 1000   -6.8  992.6    1.9  444.0   83.9  444.0
2019 335 12  1 1100   -6.1  992.7    2.5  444.0   90.1  444.0
2019 335 12  1 1200   -5.6  992.8    2.3  444.0   87.9  444.0
2019 335 12  1 1300   -6.4  992.6    2.9  444.0   90.5  444.0
2019 335 12  1 1400   -5.8  992.6    3.5  444.0   86.1  444.0
2019 335 12  1 1500   -5.2  992.5    3.9  444.0   85.7  444.0
2019 335 12  1 1600   -4.6  992.7    1.4  444.0   92.3  444.0
2019 335 12  1 1700  444.0  992.7    1.0  444.0   76.9  444.0
2019 335 12  1 1800  444.0  993.1    0.8  444.0   70.3  444.0
2019 335 12  1 1900   -2.4  993.4    1.8  444.0   83.9  444.0
2019 335 12  1 2000   -2.9  993.8    1.8  444.0   59.3  444.0
2019 335 12  1 2100   -1.1  994.4    1.4  444.0   53.1  444.0
2019 335 12  1 2200   -2.6  995.0    2.1  444.0   80.0  444.0
2019 335 12  1 2300   -2.4  995.8    1.9  444.0   55.8  444.0
2019 336 12  2 0000   -2.6  996.3    1.9  444.0   49.2  444.0
2019 336 12  2 0100  444.0  996.8    0.8  444.0  444.0  444.0
2019 336 12  2 0200   -2.6  997.2    1.9  444.0  444.0  444.0
2019 336 12  2 0300   -3.1  997.7    2.1  444.0  444.0  444.0
2019 336 12  2 0400  444.0  998.1    0.6  444.0  444.0  444.0
2019 336 12  2 0500   -5.2  998.8    3.7  444.0   87.0  444.0
2019 336 12  2 0600   -7.8  999.5    3.7  444.0   83.9  444.0
2019 336 12  2 0700   -8.4 1000.3    3.9  444.0   83.0  444.0
2019 336 12  2 0800   -8.4 1000.9    2.7  444.0   83.5  444.0
2019 336 12  2 0900   -8.1 1001.6    2.3  444.0   80.8  444.0
2019 336 12  2 1000   -5.6 1002.3    2.1  444.0   70.3  444.0
2019 336 12  2 1100   -6.8 1002.5    3.7  444.0   80.4  444.0
2019 336 12  2 1200   -9.6 1002.8    1.8  444.0   87.9  444.0
2019 336 12  2 1300   -8.9 1003.1    1.9  444.0   86.6  444.0
2019 336 12  2 1400   -9.4 1003.3    3.5  444.0   81.7  444.0
2019 336 12  2 1500   -8.2 1003.5    5.1  444.0   79.1  444.0
2019 336 12  2 1600   -8.4 1003.8    3.7  444.0   72.9  444.0
2019 336 12  2 1700   -8.0 1004.0    4.5  444.0   69.8  444.0
2019 336 12  2 1800   -6.5 1004.3    4.1  444.0   52.7  444.0
2019 336 12  2 1900   -5.5 1004.4    3.9  444.0   50.0  444.0
2019 336 12  2 2000   -3.4 1004.3    2.1  444.0   39.0  444.0
2019 336 12  2 2100  444.0 1004.4    1.4  444.0   29.8  444.0
2019 336 12  2 2200  444.0 1004.3    1.0  444.0   27.6  444.0
2019 336 12  2 2300   -1.9 1004.1    0.2  444.0   32.9  444.0
2019 337 12  3 0000   -3.6 1003.5    1.6  444.0   46.1  444.0
2019 337 12  3 0100   -3.0 1003.0    3.1  444.0   62.4  444.0
2019 337 12  3 0200   -1.2 1002.5    2.5  444.0   66.3  444.0
2019 337 12  3 0300   -2.6 1001.8    3.9  444.0   64.6  444.0
2019 337 12  3 0400   -4.2 1001.3    4.5  444.0   78.2  444.0
2019 337 12  3 0500   -2.9 1000.9    3.7  444.0   71.2  444.0
2019 337 12  3 0600   -3.0 1000.2    3.7  444.0   80.0  444.0
2019 337 12  3 0700   -4.1  999.8    4.5  444.0   83.5  444.0
2019 337 12  3 0800   -4.8  999.2    5.5  444.0   80.4  444.0
2019 337 12  3 0900   -5.4  998.8    4.5  444.0   76.9  444.0
2019 337 12  3 1000   -8.8  998.4    4.9  444.0   79.1  444.0
2019 337 12  3 1100  -10.2  998.1    4.9  444.0   85.2  444.0
2019 337 12  3 1200   -8.4  997.8    5.8  444.0   81.7  444.0
2019 337 12  3 1300   -7.1  997.2    7.4  444.0   90.5  444.0
2019 337 12  3 1400   -9.1  996.9    5.5  444.0   92.3  444.0
