Year: 2020  Month: 07  ID: LR2  ARGOS: 21360  Name: Laurie II         
Lat: 77.50S  Lon: 170.79E  Elev:   34m                                
2020 183  7  1 0000  -22.6  993.9    3.3  444.0   83.5  444.0
2020 183  7  1 0100  -22.6  993.2    2.7  444.0   88.8  444.0
2020 183  7  1 0200  -22.8  992.7    2.9  444.0   90.5  444.0
2020 183  7  1 0300  -22.5  991.9    3.1  444.0   86.1  444.0
2020 183  7  1 0400  -21.6  991.2    3.3  444.0   91.4  444.0
2020 183  7  1 0500  -22.2  990.6    1.4  444.0   88.8  444.0
2020 183  7  1 0600  -21.4  990.0    3.3  444.0   89.6  444.0
2020 183  7  1 0700  -24.6  989.5    2.5  444.0   87.9  444.0
2020 183  7  1 0800  -25.8  989.1    4.1  444.0   86.6  444.0
2020 183  7  1 0900  -25.5  988.7    4.7  444.0   87.4  444.0
2020 183  7  1 1000  -26.1  988.4    4.1  444.0   86.6  444.0
2020 183  7  1 1100  -24.1  988.4    8.0  444.0   87.9  444.0
2020 183  7  1 1200  -21.0  987.9    9.0  444.0   85.2  444.0
2020 183  7  1 1300  -16.6  987.5   11.5  444.0   82.6  444.0
2020 183  7  1 1400  -13.5  986.9   15.6  444.0   80.4  444.0
2020 183  7  1 1500  -15.1  986.7   13.8  444.0   74.7  444.0
2020 183  7  1 1600  -14.5  986.6   14.0  444.0   88.3  444.0
2020 183  7  1 1700  -13.1  986.2   17.9  444.0   93.6  444.0
2020 183  7  1 1800  -11.8  985.7   19.9  444.0   95.8  444.0
2020 183  7  1 1900  -11.5  985.9   15.2  444.0   98.9  444.0
2020 183  7  1 2000  -10.2  985.8   15.8  444.0  444.0  444.0
2020 183  7  1 2100   -9.1  986.0   19.7  444.0  444.0  444.0
2020 183  7  1 2200   -8.9  985.9   19.1  444.0  444.0  444.0
2020 183  7  1 2300   -8.5  986.3   17.2  444.0  444.0  444.0
2020 184  7  2 0000   -8.5  986.4   13.8  444.0  444.0  444.0
2020 184  7  2 0100   -8.4  986.0   20.3  444.0  444.0  444.0
2020 184  7  2 0200   -8.1  986.3   17.2  444.0  444.0  444.0
2020 184  7  2 0300   -8.5  986.4   20.3  444.0  444.0  444.0
2020 184  7  2 0400   -8.0  985.8   19.9  444.0  444.0  444.0
2020 184  7  2 0500   -7.6  986.5   21.4  444.0  444.0  444.0
2020 184  7  2 0600   -7.6  987.4   16.8  444.0  444.0  444.0
2020 184  7  2 0700   -6.8  987.8   14.6  444.0  444.0  444.0
2020 184  7  2 0800   -7.2  988.4   23.2  444.0  444.0  444.0
2020 184  7  2 0900   -7.6  989.6   20.7  444.0  444.0  444.0
2020 184  7  2 1000   -8.1  990.9   20.7  444.0  444.0  444.0
2020 184  7  2 1100  -12.6  993.3   18.5  444.0  444.0  444.0
2020 184  7  2 1200  -14.2  996.4   13.6  444.0   98.0  444.0
2020 184  7  2 1300  -15.6  999.3    8.6  444.0   97.6  444.0
2020 184  7  2 1400  -15.1 1001.7    9.8  444.0   98.9  444.0
2020 184  7  2 1500  -15.0 1003.4    9.0  444.0   99.3  444.0
2020 184  7  2 1600  -15.1 1004.4   10.7  444.0   98.4  444.0
2020 184  7  2 1700  -15.4 1006.1   12.7  444.0   98.4  444.0
2020 184  7  2 1800  -17.1 1007.2   10.1  444.0   96.2  444.0
2020 184  7  2 1900  -16.2 1007.3   13.5  444.0   96.2  444.0
2020 184  7  2 2000  -16.6 1007.0   12.5  444.0   97.6  444.0
2020 184  7  2 2100  -15.9 1007.8   12.5  444.0   97.6  444.0
2020 184  7  2 2200  -15.5 1008.4   11.9  444.0   98.4  444.0
2020 184  7  2 2300  -16.8 1008.2   10.7  444.0   96.2  444.0
2020 185  7  3 0000  -17.1 1008.3    8.6  444.0   94.9  444.0
2020 185  7  3 0100  -17.8 1008.0   10.9  444.0   92.3  444.0
2020 185  7  3 0200  -17.9 1007.4    7.2  444.0   91.0  444.0
