Year: 2017  Month: 03  ID: LR2  ARGOS: 21360  Name: Laurie II           
Lat: 77.50S  Lon: 170.79E  Elev:   34m
2017  60  3  1 0000  -16.9 1004.7    8.2  187.0   82.2  444.0
2017  60  3  1 0100  -16.9 1005.2   10.7  179.0   84.4  444.0
2017  60  3  1 0200  -16.9 1005.3    6.6  191.0   82.6  444.0
2017  60  3  1 0300  -16.8 1005.5    6.4  202.0   80.0  444.0
2017  60  3  1 0400  -16.5 1005.4    5.5  183.0   79.5  444.0
2017  60  3  1 0500  -17.1 1005.7    4.5  184.0   83.5  444.0
2017  60  3  1 0600  -17.8 1005.9    3.7  172.0   85.2  444.0
2017  60  3  1 0700  -17.5 1006.2    2.9  156.0   87.0  444.0
2017  60  3  1 0800  -17.9 1006.4    3.3  162.0   89.6  444.0
2017  60  3  1 0900  -18.2 1006.5    2.1  153.0   90.5  444.0
2017  60  3  1 1000  -18.5 1006.5    2.9  221.0   91.8  444.0
2017  60  3  1 1100  -18.5 1006.4    3.5  170.0   92.7  444.0
2017  60  3  1 1200  -18.4 1006.5    3.3  176.0   89.6  444.0
2017  60  3  1 1300  -18.6 1006.7    2.3  228.0   80.4  444.0
2017  60  3  1 1400  -20.0 1006.3    2.5  153.0   82.6  444.0
2017  60  3  1 1500  -21.0 1006.4    2.3  143.0   86.6  444.0
2017  60  3  1 1600  -21.9 1006.3    3.5  150.0   91.4  444.0
2017  60  3  1 1700  -21.5 1006.4    4.7  155.0   88.8  444.0
2017  60  3  1 1800  -21.9 1006.7    3.3  155.0   90.5  444.0
2017  60  3  1 1900  -18.5 1006.7    1.8  264.0   84.4  444.0
2017  60  3  1 2000  -20.1 1006.7    2.9  201.0   74.7  444.0
2017  60  3  1 2100  -19.9 1006.4    4.3  164.0   72.5  444.0
2017  60  3  1 2200  -19.8 1006.2    4.3  180.0   71.2  444.0
2017  60  3  1 2300  -20.8 1006.1    2.7  195.0   69.0  444.0
2017  61  3  2 0000  -20.4 1005.6    4.1  150.0   76.4  444.0
2017  61  3  2 0100  -17.9 1005.5    2.1  254.0   60.2  444.0
2017  61  3  2 0200  -17.8 1005.0    2.7  176.0   56.2  444.0
2017  61  3  2 0300  -18.4 1004.5    2.7  188.0   58.0  444.0
2017  61  3  2 0400  -18.1 1004.2    2.3  180.0   55.3  444.0
2017  61  3  2 0500  -20.5 1003.7    1.4  164.0   67.2  444.0
2017  61  3  2 0600  -19.9 1003.2    2.3  150.0   71.6  444.0
2017  61  3  2 0700  -18.9 1002.8    1.8  191.0   68.5  444.0
2017  61  3  2 0800  -21.5 1002.4    3.9  187.0   77.8  444.0
2017  61  3  2 0900  -20.8 1002.1    3.3  172.0   80.4  444.0
2017  61  3  2 1000  -20.8 1001.6    2.5  160.0   84.4  444.0
2017  61  3  2 1100  -19.8 1000.9    3.9  131.0   83.0  444.0
