Year: 2020  Month: 01  ID: LR2  ARGOS: 21360  Name: Laurie II         
Lat: 77.50S  Lon: 170.79E  Elev:   34m                                
2020   1  1  1 0000   -3.0 1002.1    2.3  444.0   46.5  444.0
2020   1  1  1 0100   -2.2 1002.1    2.7  444.0   41.2  444.0
2020   1  1  1 0200   -2.2 1002.1    3.3  444.0   43.4  444.0
2020   1  1  1 0300   -1.1 1001.9    2.5  444.0   51.8  444.0
2020   1  1  1 0400   -0.2 1001.9    2.5  444.0   45.6  444.0
2020   1  1  1 0500   -0.2 1001.9    2.3  444.0   65.9  444.0
2020   1  1  1 0600   -0.9 1001.9    1.6  444.0   61.9  444.0
2020   1  1  1 0700   -1.1 1001.8    1.8  444.0   54.4  444.0
2020   1  1  1 0800   -1.1 1001.7    2.1  444.0   63.2  444.0
2020   1  1  1 0900   -1.8 1001.4    1.6  444.0   76.0  444.0
2020   1  1  1 1000   -4.9 1000.9    2.1  444.0   88.8  444.0
2020   1  1  1 1100   -3.9 1000.4    3.1  444.0   92.7  444.0
2020   1  1  1 1200   -3.5  999.9    2.5  444.0   94.0  444.0
2020   1  1  1 1300   -3.5  999.4    3.1  444.0   91.8  444.0
2020   1  1  1 1400   -3.4  998.9    3.3  444.0   91.0  444.0
2020   1  1  1 1500   -1.9  998.1    2.5  444.0   91.4  444.0
2020   1  1  1 1600   -1.8  997.6    2.5  444.0   94.0  444.0
2020   1  1  1 1700    0.0  997.1    2.1  444.0   83.5  444.0
2020   1  1  1 1800   -0.8  996.7    3.3  444.0   69.8  444.0
2020   1  1  1 1900  444.0  996.5    0.6  444.0   36.8  444.0
2020   1  1  1 2000  444.0  996.1    1.2  444.0   40.8  444.0
2020   1  1  1 2100    3.5  995.6    1.8  444.0   61.5  444.0
2020   1  1  1 2200    2.8  995.3    2.1  444.0   65.4  444.0
2020   1  1  1 2300    1.5  994.9    2.9  444.0   67.2  444.0
2020   2  1  2 0000    0.4  994.4    4.3  444.0   71.2  444.0
2020   2  1  2 0100    0.6  993.6    3.7  444.0   72.5  444.0
2020   2  1  2 0200    1.5  992.7    4.9  444.0   76.0  444.0
2020   2  1  2 0300    1.1  992.0    5.1  444.0   72.5  444.0
2020   2  1  2 0400    1.0  991.6    5.7  444.0   77.3  444.0
2020   2  1  2 0500    0.5  991.1    5.5  444.0   81.7  444.0
2020   2  1  2 0600    0.4  990.6    6.4  444.0   80.4  444.0
2020   2  1  2 0700   -0.1  990.2    5.5  444.0   79.1  444.0
2020   2  1  2 0800   -0.5  989.7    6.2  444.0   83.9  444.0
2020   2  1  2 0900   -0.6  989.6    5.5  444.0   89.6  444.0
2020   2  1  2 1000   -1.4  989.6    4.3  444.0   93.2  444.0
2020   2  1  2 1100   -1.4  989.5    4.3  444.0   91.8  444.0
2020   2  1  2 1200   -1.4  989.1    3.7  444.0   93.6  444.0
2020   2  1  2 1300   -2.1  988.6    4.3  444.0   93.6  444.0
2020   2  1  2 1400   -2.2  988.3    4.7  444.0   93.2  444.0
2020   2  1  2 1500   -3.1  988.2    3.3  444.0   86.6  444.0
2020   2  1  2 1600   -2.4  988.4    2.7  444.0   80.8  444.0
2020   2  1  2 1700  444.0  988.8    1.6  444.0   63.2  444.0
2020   2  1  2 1800  444.0  988.8    1.4  444.0   40.8  444.0
2020   2  1  2 1900  444.0  988.8    1.6  444.0   49.6  444.0
2020   2  1  2 2000    0.6  988.8    1.6  444.0   51.4  444.0
2020   2  1  2 2100    0.1  989.1    3.1  444.0   53.6  444.0
2020   2  1  2 2200   -0.9  989.3    4.7  444.0   47.8  444.0
2020   2  1  2 2300   -4.4  989.3    7.4  444.0   55.3  444.0
2020   3  1  3 0000   -6.8  989.3    6.8  444.0   59.3  444.0
2020   3  1  3 0100   -7.2  989.3    8.2  444.0   63.7  444.0
2020   3  1  3 0200   -7.0  989.1    7.4  444.0   62.8  444.0
2020   3  1  3 0300   -7.0  989.0    8.0  444.0   68.5  444.0
2020   3  1  3 0400   -6.8  988.8    6.2  444.0   68.1  444.0
2020   3  1  3 0500   -6.4  989.0    5.3  444.0   66.3  444.0
2020   3  1  3 0600   -6.0  989.1    4.1  444.0   66.3  444.0
2020   3  1  3 0700   -5.5  989.1    2.7  444.0   64.1  444.0
2020   3  1  3 0800   -6.5  988.9    3.5  444.0   69.4  444.0
2020   3  1  3 0900   -7.6  988.8    2.5  444.0   64.1  444.0
2020   3  1  3 1000   -9.1  988.5    2.5  444.0   83.0  444.0
2020   3  1  3 1100   -9.4  988.4    2.7  444.0   97.1  444.0
2020   3  1  3 1200   -9.6  988.3    2.5  444.0   98.0  444.0
2020   3  1  3 1300  -10.1  987.9    2.9  444.0   97.6  444.0
2020   3  1  3 1400  -10.6  987.6    2.3  444.0  444.0  444.0
2020   3  1  3 1500  -10.6  987.4    1.4  444.0   89.2  444.0
2020   3  1  3 1600   -9.1  987.2    1.8  444.0   83.9  444.0
2020   3  1  3 1700   -7.2  987.5    1.8  444.0   80.4  444.0
2020   3  1  3 1800   -5.2  987.4    1.8  444.0   82.6  444.0
2020   3  1  3 1900   -3.6  987.4    1.4  444.0   75.6  444.0
2020   3  1  3 2000   -2.0  987.2    1.0  444.0   63.2  444.0
2020   3  1  3 2100   -1.9  987.1    2.3  444.0   58.8  444.0
2020   3  1  3 2200   -2.2  987.1    4.3  444.0   78.6  444.0
2020   3  1  3 2300   -2.4  987.0    4.3  444.0   80.4  444.0
2020   4  1  4 0000   -2.5  987.0    5.1  444.0   75.1  444.0
2020   4  1  4 0100   -2.4  986.9    4.3  444.0   75.6  444.0
2020   4  1  4 0200   -1.4  986.7    5.1  444.0   76.9  444.0
2020   4  1  4 0300   -0.6  986.5    4.1  444.0   72.9  444.0
2020   4  1  4 0400   -0.9  986.6    3.7  444.0   74.2  444.0
2020   4  1  4 0500   -1.4  986.9    3.3  444.0   75.6  444.0
2020   4  1  4 0600    1.0  986.9    2.3  444.0   72.5  444.0
2020   4  1  4 0700   -1.2  987.1    2.1  444.0   73.8  444.0
2020   4  1  4 0800   -1.1  987.1    2.1  444.0   71.6  444.0
2020   4  1  4 0900   -2.6  987.2    2.5  444.0   75.6  444.0
2020   4  1  4 1000   -2.6  987.5    1.9  444.0   77.3  444.0
2020   4  1  4 1100   -3.9  987.6    3.1  444.0   80.8  444.0
2020   4  1  4 1200   -4.5  988.0    2.9  444.0   84.8  444.0
2020   4  1  4 1300   -5.0  988.1    3.7  444.0   87.0  444.0
2020   4  1  4 1400   -5.0  988.0    3.3  444.0   87.0  444.0
2020   4  1  4 1500   -4.9  988.1    3.7  444.0   83.5  444.0
2020   4  1  4 1600   -4.9  988.2    4.7  444.0   87.4  444.0
2020   4  1  4 1700   -5.0  988.4    6.2  444.0   87.0  444.0
2020   4  1  4 1800   -4.8  988.5    6.2  444.0   82.2  444.0
2020   4  1  4 1900   -4.8  988.8    5.8  444.0   77.8  444.0
2020   4  1  4 2000   -3.2  989.0    5.1  444.0   70.7  444.0
2020   4  1  4 2100   -3.2  989.1    4.7  444.0   57.5  444.0
2020   4  1  4 2200   -3.6  989.1    4.5  444.0   48.7  444.0
2020   4  1  4 2300   -3.1  989.3    4.3  444.0   43.0  444.0
2020   5  1  5 0000   -3.1  989.3    4.3  444.0   45.6  444.0
2020   5  1  5 0100   -2.4  989.5    5.3  444.0   49.2  444.0
2020   5  1  5 0200   -2.4  989.4    4.7  444.0   54.0  444.0
2020   5  1  5 0300   -3.5  989.4    3.7  444.0   65.4  444.0
2020   5  1  5 0400   -3.5  989.4    4.3  444.0   58.8  444.0
2020   5  1  5 0500   -3.6  989.6    3.3  444.0   56.6  444.0
2020   5  1  5 0600   -4.0  989.7    2.9  444.0   61.0  444.0
2020   5  1  5 0700   -4.1  989.6    3.5  444.0   65.0  444.0
2020   5  1  5 0800   -4.1  989.5    2.5  444.0   66.8  444.0
2020   5  1  5 0900   -4.9  989.3    2.5  444.0   75.6  444.0
2020   5  1  5 1000   -5.5  989.3    3.3  444.0   85.2  444.0
2020   5  1  5 1100   -7.9  989.4    2.5  444.0   91.4  444.0
