Year: 2024  Month: 08  ID: LR2  ARGOS: 21360  Name: Laurie II           
Lat: 77.43S  Lon: 170.75E  Elev:   34m
2024 214  8  1 0000  -21.6  984.3   23.6  202.0   90.5  444.0
2024 214  8  1 0100  -23.2  985.2   20.7  198.0   89.2  444.0
2024 214  8  1 0200  -25.0  987.4   19.3  198.0   87.4  444.0
2024 214  8  1 0300  -26.0  987.2   15.2  180.0   86.6  444.0
2024 214  8  1 0400  -26.5  986.8    9.2  166.0   85.7  444.0
2024 214  8  1 0500  -22.5  987.1   15.8  212.0   89.2  444.0
2024 214  8  1 0600  -23.8  987.1   11.1  204.0   88.8  444.0
2024 214  8  1 0700  -26.5  986.7   12.3  209.0   84.8  444.0
2024 214  8  1 0800  -25.8  986.3   14.8  195.0   86.6  444.0
2024 214  8  1 0900  -23.4  985.5   14.0  209.0   89.2  444.0
2024 214  8  1 1000  -22.1  983.1   21.6  198.0   91.4  444.0
2024 214  8  1 1100  -21.4  983.2   21.6  209.0   91.4  444.0
2024 214  8  1 1200  -19.9  982.0   15.8  219.0   89.6  444.0
2024 214  8  1 1300  -17.4  978.7   17.5  224.0   87.9  444.0
2024 214  8  1 1400  -14.5  976.4   21.6  228.0   89.2  444.0
2024 214  8  1 1500  -12.9  975.4   22.0  228.0   94.0  444.0
2024 214  8  1 1600  -12.4  974.1   16.8  212.0   93.6  444.0
2024 214  8  1 1700  -11.8  972.0   18.9  204.0   96.2  444.0
2024 214  8  1 1800  -12.1  972.3   19.9  204.0   95.8  444.0
2024 214  8  1 1900  -12.6  971.8   22.6  200.0   95.8  444.0
2024 214  8  1 2000  -14.1  972.0   22.0  205.0   98.9  444.0
2024 214  8  1 2100  -13.8  972.4   24.6  205.0  444.0  444.0
2024 214  8  1 2200  -13.1  972.1   24.0  208.0  444.0  444.0
2024 214  8  1 2300  -13.1  973.9   21.1  212.0  444.0  444.0
2024 215  8  2 0000  -13.0  975.1   21.6  209.0  444.0  444.0
2024 215  8  2 0100  -13.0  974.7   23.0  208.0  444.0  444.0
2024 215  8  2 0200  -13.5  975.1   17.4  209.0  444.0  444.0
2024 215  8  2 0300  -13.0  976.1   18.9  214.0   99.8  444.0
