Year: 1995  Month: 09  ID: MPT  ARGOS:  8906  Name: Marble Point        
Lat: 77.44S  Lon: 163.76E  Elev:  108m
1995 244  9  1 0000  -28.8  994.6    6.1  146.0  444.0  444.0
1995 244  9  1 0100  -28.0  994.6    6.1  140.0  444.0  444.0
1995 244  9  1 0200  -29.0  994.7    6.1  154.0  444.0  444.0
1995 244  9  1 0300  -27.5  995.2    5.1  164.0  444.0  444.0
1995 244  9  1 0400  -27.1  995.0    4.7  174.0  444.0  444.0
1995 244  9  1 0500  -32.1  995.2    2.7  147.0  444.0  444.0
1995 244  9  1 0600  -28.8  995.4    0.0    0.0  444.0  444.0
1995 244  9  1 0700  -29.9  995.6    0.5  157.0  444.0  444.0
1995 244  9  1 0800  -30.2  996.0    2.2  142.0  444.0  444.0
1995 244  9  1 0900  -29.8  996.0    2.9  140.0  444.0  444.0
1995 244  9  1 1000  -30.4  996.1    3.4  133.0  444.0  444.0
1995 244  9  1 1100  -31.1  996.4    1.5  156.0  444.0  444.0
1995 244  9  1 1200  -30.2  996.7    1.5  111.0  444.0  444.0
1995 244  9  1 1300  -29.6  996.9    1.7  127.0  444.0  444.0
1995 244  9  1 1400  -28.6  996.9    1.7  143.0  444.0  444.0
1995 244  9  1 1500  -29.5  997.1    2.7  126.0  444.0  444.0
1995 244  9  1 1600  -29.6  997.5    5.1  149.0  444.0  444.0
1995 244  9  1 1700  -31.5  997.7    5.9  135.0  444.0  444.0
1995 244  9  1 1800  -30.2  998.6    4.9  149.0  444.0  444.0
1995 244  9  1 1900  -29.9  999.2    4.2  144.0  444.0  444.0
1995 244  9  1 2000  -30.8  999.4    2.9  143.0  444.0  444.0
1995 244  9  1 2100  -30.9  999.7    4.2  143.0  444.0  444.0
1995 244  9  1 2200  -29.8  999.9    2.0  132.0  444.0  444.0
1995 244  9  1 2300  -28.1 1000.1    0.5  130.0  444.0  444.0
1995 245  9  2 0000  -28.6 1000.4    0.0    0.0  444.0  444.0
1995 245  9  2 0100  -28.5 1000.5    0.0    0.0  444.0  444.0
1995 245  9  2 0200  -27.5 1000.3    0.7  277.0  444.0  444.0
1995 245  9  2 0300  -27.1  999.9    0.0    0.0  444.0  444.0
1995 245  9  2 0400  -28.1  999.3    0.5  322.0  444.0  444.0
1995 245  9  2 0500  -28.4  998.7    0.5  327.0  444.0  444.0
1995 245  9  2 0600  -29.1  998.2    2.0  330.0  444.0  444.0
1995 245  9  2 0700  -29.1  997.3    2.5  303.0  444.0  444.0
1995 245  9  2 0800  -28.6  996.9    2.5  277.0  444.0  444.0
1995 245  9  2 0900  -28.6  996.1    2.9  306.0  444.0  444.0
1995 245  9  2 1000  -29.1  995.2    3.4  303.0  444.0  444.0
1995 245  9  2 1100  -29.1  994.1    3.7  302.0  444.0  444.0
1995 245  9  2 1200  -28.8  993.0    4.7  286.0  444.0  444.0
1995 245  9  2 1300  -28.8  992.5    2.5  309.0  444.0  444.0
1995 245  9  2 1400  -28.9  991.6    2.9  303.0  444.0  444.0
1995 245  9  2 1500  -29.2  990.8    2.2  303.0  444.0  444.0
1995 245  9  2 1600  -28.8  990.2    2.0  305.0  444.0  444.0
1995 245  9  2 1700  -28.9  989.6    2.2  327.0  444.0  444.0
1995 245  9  2 1800  -29.2  989.2    1.2  310.0  444.0  444.0
1995 245  9  2 1900  -28.6  989.0    0.0    0.0  444.0  444.0
1995 245  9  2 2000  -28.4  989.1    2.2  230.0  444.0  444.0
1995 245  9  2 2100  -28.4  989.3    3.7  244.0  444.0  444.0
1995 245  9  2 2200  -26.5  989.3    1.5  253.0  444.0  444.0
1995 245  9  2 2300  -26.8  989.5    2.0  150.0  444.0  444.0
1995 246  9  3 0000  -29.8  989.6    5.1  144.0  444.0  444.0
1995 246  9  3 0100  -29.2  989.8    6.1  133.0  444.0  444.0
1995 246  9  3 0200  -28.6  990.0    7.8  137.0  444.0  444.0
1995 246  9  3 0300  -28.6  990.3    9.8  153.0  444.0  444.0
1995 246  9  3 0400  -31.6  990.1    9.6  139.0  444.0  444.0
1995 246  9  3 0500  -32.2  990.3   10.0  140.0  444.0  444.0
