Year: 2020  Month: 07  ID: MPT  ARGOS:  8906  Name: Marble Point        
Lat: 77.44S  Lon: 163.76E  Elev:  108m
2020 183  7  1 0000  -18.8  986.3    0.0    0.0  444.0  444.0
2020 183  7  1 0100  -18.9  985.7    1.5   84.0  444.0  444.0
2020 183  7  1 0200  -17.6  985.1    2.7  221.0  444.0  444.0
2020 183  7  1 0300  -17.4  984.4    3.2  201.0  444.0  444.0
2020 183  7  1 0400  -18.0  983.7    2.7  226.0  444.0  444.0
2020 183  7  1 0500  -18.8  983.7    0.5  360.0  444.0  444.0
2020 183  7  1 0600  -17.0  983.2    1.5  169.0  444.0  444.0
2020 183  7  1 0700  -15.5  982.6    6.6  211.0  444.0  444.0
2020 183  7  1 0800  -15.5  982.6    6.4  181.0  444.0  444.0
2020 183  7  1 0900  -15.2  981.3   10.5  236.0  444.0  444.0
2020 183  7  1 1000  -14.4  981.0   10.8  236.0  444.0  444.0
2020 183  7  1 1100  -15.5  981.6    8.1  240.0  444.0  444.0
2020 183  7  1 1200  -10.6  982.4    2.9  210.0  444.0  444.0
2020 183  7  1 1300  -15.5  981.5   10.3  235.0  444.0  444.0
2020 183  7  1 1400  -14.4  981.4    5.4  232.0  444.0  444.0
2020 183  7  1 1500  -12.4  980.9    9.8  232.0  444.0  444.0
2020 183  7  1 1600  -10.5  982.1    2.7   89.0  444.0  444.0
2020 183  7  1 1700  -11.9  982.3    2.7  217.0  444.0  444.0
2020 183  7  1 1800  -10.2  982.4    2.5  190.0  444.0  444.0
2020 183  7  1 1900  -10.9  982.3    0.0    0.0  444.0  444.0
2020 183  7  1 2000  -10.1  982.5    2.0   69.0  444.0  444.0
2020 183  7  1 2100   -6.5  981.2    9.8  190.0  444.0  444.0
2020 183  7  1 2200   -7.5  981.1    1.5  274.0  444.0  444.0
2020 183  7  1 2300   -5.8  981.0    8.1  174.0  444.0  444.0
2020 184  7  2 0000   -5.8  980.9   12.0  150.0  444.0  444.0
2020 184  7  2 0100   -5.4  980.2   12.0  183.0  444.0  444.0
2020 184  7  2 0200   -6.0  980.5    9.3  205.0  444.0  444.0
2020 184  7  2 0300   -4.8  981.1    9.1  193.0  444.0  444.0
2020 184  7  2 0400   -4.8  981.3    2.0  208.0  444.0  444.0
2020 184  7  2 0500   -5.5  981.6   10.0  187.0  444.0  444.0
2020 184  7  2 0600   -4.9  981.8   11.0  191.0  444.0  444.0
2020 184  7  2 0700   -6.5  982.4    0.0    0.0  444.0  444.0
2020 184  7  2 0800   -6.0  982.7   10.3  193.0  444.0  444.0
2020 184  7  2 0900   -3.8  982.5   11.8  180.0  444.0  444.0
2020 184  7  2 1000   -3.4  983.5   10.0  215.0  444.0  444.0
2020 184  7  2 1100   -4.8  986.0   11.3  156.0  444.0  444.0
2020 184  7  2 1200   -4.4  987.2   12.7  183.0  444.0  444.0
2020 184  7  2 1300   -5.8  990.3    5.1   30.0  444.0  444.0
2020 184  7  2 1400   -8.9  993.2    4.4   51.0  444.0  444.0
2020 184  7  2 1500   -8.9  995.8    5.1  100.0  444.0  444.0
2020 184  7  2 1600  -12.2  998.0    9.1  145.0  444.0  444.0
2020 184  7  2 1700  -11.2  998.9    7.4  110.0  444.0  444.0
2020 184  7  2 1800  -12.2 1000.7    5.4   76.0  444.0  444.0
2020 184  7  2 1900  -12.0 1000.9    2.5  188.0  444.0  444.0
2020 184  7  2 2000  -12.0 1001.2    2.5  190.0  444.0  444.0
2020 184  7  2 2100  -12.0 1001.8    1.5  212.0  444.0  444.0
2020 184  7  2 2200  -12.5 1002.3    2.5  210.0  444.0  444.0
2020 184  7  2 2300  -11.9 1001.7    3.9  184.0  444.0  444.0
2020 185  7  3 0000  -12.9 1001.3    3.2  202.0  444.0  444.0
2020 185  7  3 0100  -12.2 1000.8    2.2  224.0  444.0  444.0
2020 185  7  3 0200  -12.6 1000.5    2.7  229.0  444.0  444.0
2020 185  7  3 0300  -14.4  999.9    5.4  235.0  444.0  444.0
2020 185  7  3 0400  -12.6  999.1    5.6  240.0  444.0  444.0
2020 185  7  3 0500  -10.6  998.0    3.2  214.0  444.0  444.0
2020 185  7  3 0600  -15.0  997.4    1.0  353.0  444.0  444.0
2020 185  7  3 0700  -12.6  995.9    2.9  297.0  444.0  444.0
2020 185  7  3 0800  -16.6  994.2    4.4  322.0  444.0  444.0
2020 185  7  3 0900  -12.4  992.9    3.2  322.0  444.0  444.0
2020 185  7  3 1000  -13.6  991.1    2.5  314.0  444.0  444.0
2020 185  7  3 1100  -13.2  989.4    0.0    0.0  444.0  444.0
2020 185  7  3 1200  -14.6  987.5    1.5  312.0  444.0  444.0
2020 185  7  3 1300  -14.6  985.7    0.7  294.0  444.0  444.0
2020 185  7  3 1400  -14.6  984.0    2.7  297.0  444.0  444.0
2020 185  7  3 1500  -13.9  982.2    2.7  336.0  444.0  444.0
2020 185  7  3 1600  -14.1  980.1    3.4  330.0  444.0  444.0
2020 185  7  3 1700  -14.6  978.3    3.2  325.0  444.0  444.0
2020 185  7  3 1800  -14.2  976.4    3.7  309.0  444.0  444.0
2020 185  7  3 1900  -14.4  975.4    0.0    0.0  444.0  444.0
2020 185  7  3 2000  -13.2  973.8    6.6  328.0  444.0  444.0
2020 185  7  3 2100  -16.1  974.0    6.9  129.0  444.0  444.0
2020 185  7  3 2200  -17.0  974.1   10.8  138.0  444.0  444.0
2020 185  7  3 2300  -14.4  974.6    9.6  146.0  444.0  444.0
2020 186  7  4 0000  -16.1  974.1    5.6  158.0  444.0  444.0
2020 186  7  4 0100  -15.0  973.4    0.7  316.0  444.0  444.0
2020 186  7  4 0200  -16.5  972.5    4.2  326.0  444.0  444.0
2020 186  7  4 0300  -16.5  972.4    6.1  276.0  444.0  444.0
2020 186  7  4 0400  -14.4  971.6    3.9  269.0  444.0  444.0
2020 186  7  4 0500  -15.6  971.4    3.9  321.0  444.0  444.0
2020 186  7  4 0600  -14.4  970.9    3.4  314.0  444.0  444.0
2020 186  7  4 0700  -15.5  970.3    3.2  274.0  444.0  444.0
2020 186  7  4 0800  -15.0  970.0    0.0    0.0  444.0  444.0
2020 186  7  4 0900  -15.0  969.6    1.2  191.0  444.0  444.0
2020 186  7  4 1000  -17.4  969.4    3.2  153.0  444.0  444.0
2020 186  7  4 1100  -18.1  969.1    3.9  149.0  444.0  444.0
2020 186  7  4 1200  -19.0  968.8    3.7  145.0  444.0  444.0
2020 186  7  4 1300  -18.5  969.3    4.9  145.0  444.0  444.0
2020 186  7  4 1400  -18.2  969.4    7.8  129.0  444.0  444.0
2020 186  7  4 1500  -17.9  970.3    6.6  128.0  444.0  444.0
2020 186  7  4 1600  -18.8  971.1    6.1  127.0  444.0  444.0
2020 186  7  4 1700  -19.5  971.9    6.1  124.0  444.0  444.0
2020 186  7  4 1800  -20.1  972.3    4.4  129.0  444.0  444.0
