Year: 1992  Month: 07  ID: MPT  ARGOS:  8906  Name: Marble Point        
Lat: 77.44S  Lon: 163.76E  Elev:  108m
1992 186  7  4 1200  -22.4  998.6    2.7  125.0  444.0  444.0
1992 186  7  4 1300  -23.3  999.1    0.0    0.0  444.0  444.0
1992 186  7  4 1400  -23.9  998.9    0.2  167.0  444.0  444.0
1992 186  7  4 1500  -25.1  999.3    1.7  132.0  444.0  444.0
1992 186  7  4 1600  -22.0  999.5    1.2  157.0  444.0  444.0
1992 186  7  4 1700  -21.4  999.5    0.7  196.0  444.0  444.0
1992 186  7  4 1800  -21.3  999.2    0.0    0.0  444.0  444.0
1992 186  7  4 1900  -22.1  999.0    3.9  326.0  444.0  444.0
1992 186  7  4 2000  -21.8  998.7    0.0    0.0  444.0  444.0
1992 186  7  4 2100  -22.4  998.7    0.5   32.0  444.0  444.0
1992 186  7  4 2200  -22.4  998.3    0.0    0.0  444.0  444.0
1992 186  7  4 2300  -24.4  998.5    1.7  161.0  444.0  444.0
1992 187  7  5 0000  -22.5  998.4    0.0    0.0  444.0  444.0
1992 187  7  5 0100  -22.0  997.8    2.0  305.0  444.0  444.0
1992 187  7  5 0200  -22.4  997.5    0.0    0.0  444.0  444.0
1992 187  7  5 0300  -23.3  997.6    0.0    0.0  444.0  444.0
1992 187  7  5 0400  -22.4  997.5    0.0    0.0  444.0  444.0
1992 187  7  5 0500  -21.3  997.0    0.5  345.0  444.0  444.0
1992 187  7  5 0600  -20.6  996.8    2.5  220.0  444.0  444.0
1992 187  7  5 0700  -22.0  996.4    1.5  140.0  444.0  444.0
1992 187  7  5 0800  -21.5  996.3    1.0  277.0  444.0  444.0
1992 187  7  5 0900  -21.9  996.3    2.0  310.0  444.0  444.0
1992 187  7  5 1000  -20.1  996.2    1.2  102.0  444.0  444.0
1992 187  7  5 1100  -20.8  995.9    1.7  195.0  444.0  444.0
1992 187  7  5 1200  -21.8  995.6    1.5  205.0  444.0  444.0
1992 187  7  5 1300  -21.0  995.7    1.2   81.0  444.0  444.0
1992 187  7  5 1400  -20.8  995.4    2.0    5.0  444.0  444.0
1992 187  7  5 1500  -19.1  995.1    0.0    0.0  444.0  444.0
1992 187  7  5 1600  -18.4  995.0    0.0    0.0  444.0  444.0
1992 187  7  5 1700  -16.1  994.8    2.7  303.0  444.0  444.0
1992 187  7  5 1800  -10.9  994.7    3.7  188.0  444.0  444.0
1992 187  7  5 1900  -11.9  994.4    0.0    0.0  444.0  444.0
1992 187  7  5 2000  -14.3  994.2    0.0    0.0  444.0  444.0
1992 187  7  5 2100  -13.6  994.2    0.2  140.0  444.0  444.0
1992 187  7  5 2200  -17.6  994.0    0.5  181.0  444.0  444.0
1992 187  7  5 2300  -20.1  993.9    4.2  132.0  444.0  444.0
1992 188  7  6 0000  -18.8  994.3    2.5  187.0  444.0  444.0
1992 188  7  6 0100  -20.8  994.2    0.0    0.0  444.0  444.0
1992 188  7  6 0200  -21.1  994.0    0.5  146.0  444.0  444.0
1992 188  7  6 0300  -23.0  994.1    2.2  147.0  444.0  444.0
1992 188  7  6 0400  -21.1  994.0    0.5  127.0  444.0  444.0
1992 188  7  6 0500  -22.1  993.7    2.0  144.0  444.0  444.0
1992 188  7  6 0600  -22.5  993.9    1.2  144.0  444.0  444.0
1992 188  7  6 0700  -23.6  993.8    2.2  154.0  444.0  444.0
1992 188  7  6 0800  -23.8  993.2    3.9  157.0  444.0  444.0
1992 188  7  6 0900  -22.4  993.1    2.2  111.0  444.0  444.0
1992 188  7  6 1000  -22.5  992.8    2.0  168.0  444.0  444.0
1992 188  7  6 1100  -23.8  992.6    2.0  180.0  444.0  444.0
1992 188  7  6 1200  -23.8  992.5    2.5  137.0  444.0  444.0
1992 188  7  6 1300  -25.6  992.5    3.4  160.0  444.0  444.0
1992 188  7  6 1400  -23.4  992.3    2.9  153.0  444.0  444.0
1992 188  7  6 1500  -22.6  992.1    2.0  156.0  444.0  444.0
1992 188  7  6 1600  -24.8  992.3    2.9  177.0  444.0  444.0
1992 188  7  6 1700  444.0  992.3    4.2  135.0  444.0  444.0
1992 188  7  6 1800  -27.6  992.2    3.9  144.0  444.0  444.0
1992 188  7  6 1900  -27.6  992.3    3.4  146.0  444.0  444.0
1992 188  7  6 2000  -28.0  992.2    6.1  137.0  444.0  444.0
1992 188  7  6 2100  -24.8  992.4    8.6  146.0  444.0  444.0
1992 188  7  6 2200  -24.9  992.4    7.4  139.0  444.0  444.0
1992 188  7  6 2300  -24.0  993.2    7.4  153.0  444.0  444.0
1992 189  7  7 0000  -22.4  993.8    6.9  157.0  444.0  444.0
1992 189  7  7 0100  -21.9  993.8    8.3  147.0  444.0  444.0
1992 189  7  7 0200  -23.9  994.2    7.1  149.0  444.0  444.0
1992 189  7  7 0300  -26.8  994.7    3.9  136.0  444.0  444.0
1992 189  7  7 0400  -26.1  995.2    4.7  127.0  444.0  444.0
1992 189  7  7 0500  -26.0  995.8    6.1  143.0  444.0  444.0
1992 189  7  7 0600  -26.8  995.5    3.7  130.0  444.0  444.0
1992 189  7  7 0700  -26.9  995.5    4.7  139.0  444.0  444.0
1992 189  7  7 0800  -26.8  996.0    3.7  160.0  444.0  444.0
1992 189  7  7 0900  -24.6  996.1    2.2  158.0  444.0  444.0
1992 189  7  7 1000  -24.9  995.7    1.2  223.0  444.0  444.0
1992 189  7  7 1100  -25.4  995.2    0.0    0.0  444.0  444.0
1992 189  7  7 1200  -24.5  994.6    2.0  251.0  444.0  444.0
1992 189  7  7 1300  -26.1  994.3    1.0  341.0  444.0  444.0
1992 189  7  7 1400  -25.8  994.1    2.9  295.0  444.0  444.0
1992 189  7  7 1500  -25.0  993.9    3.4  320.0  444.0  444.0
1992 189  7  7 1600  -24.4  993.6    1.7  302.0  444.0  444.0
1992 189  7  7 1700  -24.4  992.9    0.7  279.0  444.0  444.0
1992 189  7  7 1800  -26.5  992.2    0.0    0.0  444.0  444.0
1992 189  7  7 1900  -25.0  991.3    1.0  140.0  444.0  444.0
1992 189  7  7 2000  -27.6  991.6    2.9  136.0  444.0  444.0
1992 189  7  7 2100  -27.6  991.5    3.2  130.0  444.0  444.0
1992 189  7  7 2200  444.0  444.0  444.0  444.0  444.0  444.0
1992 189  7  7 2300  444.0  444.0  444.0  444.0  444.0  444.0
1992 190  7  8 0000  444.0  444.0  444.0  444.0  444.0  444.0
1992 190  7  8 0100  444.0  444.0  444.0  444.0  444.0  444.0
1992 190  7  8 0200  -29.1  989.9    3.2  139.0  444.0  444.0
1992 190  7  8 0300  444.0  444.0  444.0  444.0  444.0  444.0
1992 190  7  8 0400  -28.6  989.9    2.7  165.0  444.0  444.0
1992 190  7  8 0500  -28.1  989.6    0.0    0.0  444.0  444.0
1992 190  7  8 0600  -28.4  989.5    0.0    0.0  444.0  444.0
