Year: 1995  Month: 07  ID: MPT  ARGOS:  8906  Name: Marble Point        
Lat: 77.44S  Lon: 163.76E  Elev:  108m
1995 182  7  1 0000  -24.2  979.0    9.8  126.0  444.0  444.0
1995 182  7  1 0100  -25.1  980.1    9.1  147.0  444.0  444.0
1995 182  7  1 0200  -24.1  980.1    8.1  144.0  444.0  444.0
1995 182  7  1 0300  -24.6  980.0    7.6  149.0  444.0  444.0
1995 182  7  1 0400  -23.0  979.1    5.1  130.0  444.0  444.0
1995 182  7  1 0500  -22.4  978.6    7.1  144.0  444.0  444.0
1995 182  7  1 0600  -22.0  978.7    4.9  156.0  444.0  444.0
1995 182  7  1 0700  -25.4  978.6   12.0  144.0  444.0  444.0
1995 182  7  1 0800  -26.0  979.6    8.3  161.0  444.0  444.0
1995 182  7  1 0900  -26.1  979.7   11.0  153.0  444.0  444.0
1995 182  7  1 1000  -26.9  979.8    9.3  154.0  444.0  444.0
1995 182  7  1 1100  -26.9  980.3    9.1  144.0  444.0  444.0
1995 182  7  1 1200  -27.4  980.7    9.1  143.0  444.0  444.0
1995 182  7  1 1300  -27.6  981.5    9.6  143.0  444.0  444.0
1995 182  7  1 1400  -27.2  982.0    8.3  153.0  444.0  444.0
1995 182  7  1 1500  -27.4  981.4    7.1  146.0  444.0  444.0
1995 182  7  1 1600  -28.4  981.4    0.5  151.0  444.0  444.0
1995 182  7  1 1700  -27.8  981.3    2.0  282.0  444.0  444.0
1995 182  7  1 1800  -28.5  982.2    0.0    0.0  444.0  444.0
1995 182  7  1 1900  -24.4  981.8    2.0  237.0  444.0  444.0
1995 182  7  1 2000  -27.1  981.3    1.0  168.0  444.0  444.0
1995 182  7  1 2100  -23.9  981.5    2.2  215.0  444.0  444.0
1995 182  7  1 2200  -21.9  981.3    2.2  265.0  444.0  444.0
1995 182  7  1 2300  -23.2  981.2    3.9  220.0  444.0  444.0
1995 183  7  2 0000  -21.1  981.0    0.5  203.0  444.0  444.0
1995 183  7  2 0100  -21.6  980.7    2.0  241.0  444.0  444.0
1995 183  7  2 0200  -22.8  980.7    0.0    0.0  444.0  444.0
1995 183  7  2 0300  -20.9  980.5    1.7  222.0  444.0  444.0
1995 183  7  2 0400  -22.4  980.7    0.2  192.0  444.0  444.0
1995 183  7  2 0500  -21.9  980.9    0.0    0.0  444.0  444.0
1995 183  7  2 0600  -22.4  981.1    1.2  234.0  444.0  444.0
1995 183  7  2 0700  -20.2  980.9    0.7   18.0  444.0  444.0
1995 183  7  2 0800  -19.6  981.1    2.0  268.0  444.0  444.0
1995 183  7  2 0900  -19.4  981.0    2.0  189.0  444.0  444.0
1995 183  7  2 1000  -19.1  981.2    0.7  257.0  444.0  444.0
1995 183  7  2 1100  -19.1  981.3    1.2  310.0  444.0  444.0
1995 183  7  2 1200  -17.4  981.4    2.0  239.0  444.0  444.0
1995 183  7  2 1300  -20.2  981.9    0.0    0.0  444.0  444.0
1995 183  7  2 1400  -24.6  982.1    1.2  161.0  444.0  444.0
1995 183  7  2 1500  -23.2  982.9    2.0  157.0  444.0  444.0
1995 183  7  2 1600  -24.5  982.9    2.9  150.0  444.0  444.0
1995 183  7  2 1700  -24.1  983.3    2.0  160.0  444.0  444.0
1995 183  7  2 1800  -23.9  983.7    2.9  147.0  444.0  444.0
1995 183  7  2 1900  -24.6  984.2    0.0    0.0  444.0  444.0
1995 183  7  2 2000  -23.8  984.4    0.7  140.0  444.0  444.0
1995 183  7  2 2100  -22.4  984.6    0.0    0.0  444.0  444.0
1995 183  7  2 2200  -22.4  985.0    1.2  150.0  444.0  444.0
1995 183  7  2 2300  -22.1  985.3    0.0    0.0  444.0  444.0
1995 184  7  3 0000  -20.9  985.4    0.0    0.0  444.0  444.0
1995 184  7  3 0100  -22.4  985.5    0.0    0.0  444.0  444.0
1995 184  7  3 0200  -22.4  985.5    2.0  296.0  444.0  444.0
1995 184  7  3 0300  -21.0  985.4    1.7  357.0  444.0  444.0
1995 184  7  3 0400  -20.8  985.4    1.2  305.0  444.0  444.0
1995 184  7  3 0500  -20.9  985.3    0.2  172.0  444.0  444.0
1995 184  7  3 0600  -21.8  985.4    0.7  185.0  444.0  444.0
1995 184  7  3 0700  -21.4  985.2    1.0  213.0  444.0  444.0
1995 184  7  3 0800  -22.0  985.3    0.7  147.0  444.0  444.0
1995 184  7  3 0900  -21.2  985.3    0.0    0.0  444.0  444.0
1995 184  7  3 1000  -20.4  985.4    2.2  178.0  444.0  444.0
1995 184  7  3 1100  -19.5  985.4    1.2   32.0  444.0  444.0
1995 184  7  3 1200  -19.8  985.3    0.0    0.0  444.0  444.0
1995 184  7  3 1300  -21.2  985.3    0.7  174.0  444.0  444.0
1995 184  7  3 1400  -19.8  984.4    2.2  326.0  444.0  444.0
1995 184  7  3 1500  -19.8  984.4    1.0  170.0  444.0  444.0
1995 184  7  3 1600  -19.6  984.1    0.2  313.0  444.0  444.0
1995 184  7  3 1700  -19.8  984.0    2.0  334.0  444.0  444.0
1995 184  7  3 1800  -19.8  983.6    1.2  199.0  444.0  444.0
1995 184  7  3 1900  -21.6  983.5    2.7  142.0  444.0  444.0
1995 184  7  3 2000  -21.4  984.1    3.9  160.0  444.0  444.0
1995 184  7  3 2100  -20.2  984.0    4.4  137.0  444.0  444.0
1995 184  7  3 2200  -19.6  983.9    4.9  127.0  444.0  444.0
1995 184  7  3 2300  -19.6  984.1    3.2  172.0  444.0  444.0
1995 185  7  4 0000  -19.4  983.9    0.0    0.0  444.0  444.0
1995 185  7  4 0100  -19.6  984.0    0.0    0.0  444.0  444.0
1995 185  7  4 0200  -18.6  984.1    2.7  220.0  444.0  444.0
1995 185  7  4 0300  -19.0  984.1    2.7  194.0  444.0  444.0
1995 185  7  4 0400  -18.8  984.2    4.7  161.0  444.0  444.0
1995 185  7  4 0500  -19.4  984.5    2.0  120.0  444.0  444.0
1995 185  7  4 0600  -20.5  984.7    0.7  142.0  444.0  444.0
1995 185  7  4 0700  -20.1  984.8    1.0  185.0  444.0  444.0
1995 185  7  4 0800  -20.5  985.1    2.0  278.0  444.0  444.0
1995 185  7  4 0900  -21.2  985.5    2.2  299.0  444.0  444.0
1995 185  7  4 1000  -20.2  985.6    5.9  279.0  444.0  444.0
1995 185  7  4 1100  -21.5  985.8    5.6  284.0  444.0  444.0
1995 185  7  4 1200  -21.5  985.9    5.6  281.0  444.0  444.0
1995 185  7  4 1300  -22.4  986.1    5.9  286.0  444.0  444.0
1995 185  7  4 1400  -21.4  986.5    4.4  277.0  444.0  444.0
1995 185  7  4 1500  -21.5  986.4    3.9  274.0  444.0  444.0
1995 185  7  4 1600  -21.5  986.6    4.2  258.0  444.0  444.0
1995 185  7  4 1700  -21.1  987.1    0.0    0.0  444.0  444.0
1995 185  7  4 1800  -21.1  987.3    2.5  215.0  444.0  444.0
1995 185  7  4 1900  -21.4  987.9    2.0   68.0  444.0  444.0
1995 185  7  4 2000  -21.5  988.3    1.7  213.0  444.0  444.0
1995 185  7  4 2100  -20.9  988.5    2.0    5.0  444.0  444.0
1995 185  7  4 2200  -21.2  989.6    1.5  337.0  444.0  444.0
1995 185  7  4 2300  -21.2  990.6    1.5  158.0  444.0  444.0
1995 186  7  5 0000  -22.5  991.2    4.4  151.0  444.0  444.0
1995 186  7  5 0100  -22.4  992.2    4.7  163.0  444.0  444.0
1995 186  7  5 0200  -22.0  992.7    3.7  154.0  444.0  444.0
1995 186  7  5 0300  -21.9  993.6    3.9  127.0  444.0  444.0
1995 186  7  5 0400  -20.4  994.4    2.7  184.0  444.0  444.0
1995 186  7  5 0500  -20.2  995.3    3.7  158.0  444.0  444.0
1995 186  7  5 0600  -20.0  996.6    2.5  181.0  444.0  444.0
1995 186  7  5 0700  -20.6  997.3    3.4  158.0  444.0  444.0
1995 186  7  5 0800  -20.5  997.5    2.9  170.0  444.0  444.0
1995 186  7  5 0900  -21.5  998.0    2.0  240.0  444.0  444.0
1995 186  7  5 1000  -21.2  998.9    1.2  248.0  444.0  444.0
1995 186  7  5 1100  -21.2  999.3    1.5  253.0  444.0  444.0
1995 186  7  5 1200  -21.1  999.9    2.9  191.0  444.0  444.0
1995 186  7  5 1300  -21.4 1000.2    2.2  230.0  444.0  444.0
1995 186  7  5 1400  -22.0 1000.5    2.7  225.0  444.0  444.0
1995 186  7  5 1500  -21.1 1001.2    0.7  165.0  444.0  444.0
1995 186  7  5 1600  -22.8 1001.6    1.0  219.0  444.0  444.0
1995 186  7  5 1700  -21.9 1002.0    3.9  184.0  444.0  444.0
1995 186  7  5 1800  444.0  444.0  444.0  444.0  444.0  444.0
1995 186  7  5 1900  -21.8 1002.5    1.7  241.0  444.0  444.0
1995 186  7  5 2000  -21.5 1003.1    0.0    0.0  444.0  444.0
1995 186  7  5 2100  -21.2 1003.3    1.0  324.0  444.0  444.0
1995 186  7  5 2200  -20.1 1003.6    2.5  251.0  444.0  444.0
1995 186  7  5 2300  444.0  444.0  444.0  444.0  444.0  444.0
1995 187  7  6 0000  -23.4 1003.8    1.5  157.0  444.0  444.0
1995 187  7  6 0100  -22.5 1003.5    0.0    0.0  444.0  444.0
1995 187  7  6 0200  -23.8 1003.7    0.0    0.0  444.0  444.0
1995 187  7  6 0300  -22.4 1003.3    1.7  198.0  444.0  444.0
1995 187  7  6 0400  -25.0 1003.4    1.0  133.0  444.0  444.0
1995 187  7  6 0500  -27.9 1003.1    1.7  160.0  444.0  444.0
1995 187  7  6 0600  444.0 1002.6    0.7  164.0  444.0  444.0
1995 187  7  6 0700  -25.5 1001.8    1.5  150.0  444.0  444.0
1995 187  7  6 0800  -28.1 1000.7    2.9  170.0  444.0  444.0
1995 187  7  6 0900  -27.4 1000.8    6.1  140.0  444.0  444.0
1995 187  7  6 1000  -26.6 1000.7    5.1  158.0  444.0  444.0
1995 187  7  6 1100  444.0  444.0  444.0  444.0  444.0  444.0
1995 187  7  6 1200  -26.4  999.1    4.4  153.0  444.0  444.0
1995 187  7  6 1300  -26.2  998.0    4.2  156.0  444.0  444.0
1995 187  7  6 1400  -26.8  996.8    2.7  154.0  444.0  444.0
1995 187  7  6 1500  -26.5  995.3    2.9  142.0  444.0  444.0
1995 187  7  6 1600  444.0  444.0  444.0  444.0  444.0  444.0
1995 187  7  6 1700  -26.5  993.0    2.2  199.0  444.0  444.0
1995 187  7  6 1800  -26.5  992.2    2.2  181.0  444.0  444.0
1995 187  7  6 1900  -25.6  991.4    2.5  177.0  444.0  444.0
1995 187  7  6 2000  -26.4  990.8    2.2  222.0  444.0  444.0
1995 187  7  6 2100  444.0  444.0  444.0  444.0  444.0  444.0
1995 187  7  6 2200  -28.1  990.6    3.7  143.0  444.0  444.0
1995 187  7  6 2300  -28.4  990.0    3.9  156.0  444.0  444.0
1995 188  7  7 0000  -27.2  989.3    2.9  150.0  444.0  444.0
1995 188  7  7 0100  -25.8  989.4    2.5  153.0  444.0  444.0
1995 188  7  7 0200  -26.2  988.9    4.2  146.0  444.0  444.0
1995 188  7  7 0300  -24.9  988.7    2.0  129.0  444.0  444.0
1995 188  7  7 0400  444.0  444.0  444.0  444.0  444.0  444.0
1995 188  7  7 0500  -29.4  989.5    1.0  178.0  444.0  444.0
1995 188  7  7 0600  -27.8  989.7    2.9  168.0  444.0  444.0
1995 188  7  7 0700  -29.6  990.1    2.9  153.0  444.0  444.0
1995 188  7  7 0800  -25.1  992.0   10.8  167.0  444.0  444.0
1995 188  7  7 0900  444.0  444.0  444.0  444.0  444.0  444.0
1995 188  7  7 1000  -24.2  994.3    7.4  165.0  444.0  444.0
1995 188  7  7 1100  -25.0  994.6    5.1  146.0  444.0  444.0
1995 188  7  7 1200  -25.6  994.9    8.3  153.0  444.0  444.0
1995 188  7  7 1300  -26.1  995.5    5.9  154.0  444.0  444.0
1995 188  7  7 1400  444.0  444.0  444.0  444.0  444.0  444.0
1995 188  7  7 1500  -26.5  997.2    4.4  151.0  444.0  444.0
1995 188  7  7 1600  -24.8  997.4    6.4  144.0  444.0  444.0
1995 188  7  7 1700  -23.8  997.9    3.7  172.0  444.0  444.0
1995 188  7  7 1800  -23.6  998.8    6.6  167.0  444.0  444.0
1995 188  7  7 1900  444.0  444.0  444.0  444.0  444.0  444.0
1995 188  7  7 2000  -22.5 1000.4    6.1  180.0  444.0  444.0
1995 188  7  7 2100  -24.1 1001.2    5.9  133.0  444.0  444.0
1995 188  7  7 2200  -24.1 1001.9    5.6  163.0  444.0  444.0
1995 188  7  7 2300  -24.0 1002.7    4.9  153.0  444.0  444.0
1995 189  7  8 0000  -24.5 1002.9    4.7  181.0  444.0  444.0
1995 189  7  8 0100  -23.9 1002.4    4.9  167.0  444.0  444.0
1995 189  7  8 0200  444.0  444.0  444.0  444.0  444.0  444.0
1995 189  7  8 0300  -24.4 1002.9    5.1  156.0  444.0  444.0
1995 189  7  8 0400  -28.6 1003.6    3.4  142.0  444.0  444.0
1995 189  7  8 0500  -27.4 1003.6    8.1  163.0  444.0  444.0
1995 189  7  8 0600  -25.4 1003.4    8.3  144.0  444.0  444.0
1995 189  7  8 0700  444.0  444.0  444.0  444.0  444.0  444.0
1995 189  7  8 0800  -27.9 1003.1    6.6  142.0  444.0  444.0
1995 189  7  8 0900  -28.8 1002.5    5.9  149.0  444.0  444.0
1995 189  7  8 1000  -28.0 1002.3    5.1  161.0  444.0  444.0
1995 189  7  8 1100  -27.2 1001.9    5.4  147.0  444.0  444.0
1995 189  7  8 1200  444.0  444.0  444.0  444.0  444.0  444.0
1995 189  7  8 1300  -28.0 1002.2    1.7  156.0  444.0  444.0
1995 189  7  8 1400  -26.0 1001.7    0.0    0.0  444.0  444.0
1995 189  7  8 1500  -26.1 1000.6    1.5  285.0  444.0  444.0
1995 189  7  8 1600  -25.8 1000.6    1.2  300.0  444.0  444.0
1995 189  7  8 1700  -26.5 1000.3    2.7  279.0  444.0  444.0
1995 189  7  8 1800  -27.4  999.0    3.4  286.0  444.0  444.0
1995 189  7  8 1900  -27.9  998.5    3.9  288.0  444.0  444.0
1995 189  7  8 2000  -27.4  997.9    3.7  293.0  444.0  444.0
1995 189  7  8 2100  -28.4  997.5    3.2  303.0  444.0  444.0
1995 189  7  8 2200  -28.4  997.2    3.4  289.0  444.0  444.0
1995 189  7  8 2300  -28.4  996.6    2.2  270.0  444.0  444.0
1995 190  7  9 0000  -29.9  995.9    1.0  292.0  444.0  444.0
1995 190  7  9 0100  -29.5  995.8    3.4  320.0  444.0  444.0
1995 190  7  9 0200  -28.6  995.1    2.0  309.0  444.0  444.0
1995 190  7  9 0300  -28.9  994.2    2.2  296.0  444.0  444.0
1995 190  7  9 0400  -27.9  993.7    3.7  312.0  444.0  444.0
1995 190  7  9 0500  -28.5  993.4    2.0  331.0  444.0  444.0
1995 190  7  9 0600  -28.6  992.5    2.9  298.0  444.0  444.0
1995 190  7  9 0700  -29.1  991.6    1.5  350.0  444.0  444.0
1995 190  7  9 0800  -28.9  991.1    1.5  330.0  444.0  444.0
1995 190  7  9 0900  -29.6  990.6    0.5   54.0  444.0  444.0
1995 190  7  9 1000  -28.9  989.9    0.5  327.0  444.0  444.0
1995 190  7  9 1100  -29.9  988.7    1.2  267.0  444.0  444.0
1995 190  7  9 1200  -28.6  987.7    1.5  291.0  444.0  444.0
1995 190  7  9 1300  -28.6  986.8    1.5  286.0  444.0  444.0
1995 190  7  9 1400  -29.0  985.8    1.2  258.0  444.0  444.0
1995 190  7  9 1500  -29.1  984.5    0.0    0.0  444.0  444.0
1995 190  7  9 1600  -29.6  983.8    0.0    0.0  444.0  444.0
1995 190  7  9 1700  -29.2  982.9    0.7  279.0  444.0  444.0
1995 190  7  9 1800  -29.8  982.0    0.0    0.0  444.0  444.0
1995 190  7  9 1900  -28.9  981.2    0.5  271.0  444.0  444.0
1995 190  7  9 2000  -29.5  980.5    0.0    0.0  444.0  444.0
1995 190  7  9 2100  -28.1  980.3    0.5  233.0  444.0  444.0
1995 190  7  9 2200  -30.8  979.8    2.0  140.0  444.0  444.0
1995 190  7  9 2300  -29.5  979.5    2.2  144.0  444.0  444.0
1995 191  7 10 0000  -29.2  979.6    2.7  139.0  444.0  444.0
1995 191  7 10 0100  -28.0  979.6    2.2  146.0  444.0  444.0
1995 191  7 10 0200  -28.0  979.8    3.4  153.0  444.0  444.0
1995 191  7 10 0300  -28.8  980.1    2.7  153.0  444.0  444.0
1995 191  7 10 0400  -30.4  980.9    3.4  157.0  444.0  444.0
1995 191  7 10 0500  -30.1  981.8    4.9  142.0  444.0  444.0
1995 191  7 10 0600  -30.8  982.6    7.1  153.0  444.0  444.0
1995 191  7 10 0700  -28.9  983.7    8.1  171.0  444.0  444.0
1995 191  7 10 0800  -31.9  984.6    7.8  143.0  444.0  444.0
1995 191  7 10 0900  -33.1  985.5    9.1  140.0  444.0  444.0
1995 191  7 10 1000  -29.8  987.0    7.4  139.0  444.0  444.0
