Year: 1995  Month: 08  ID: MPT  ARGOS:  8906  Name: Marble Point        
Lat: 77.44S  Lon: 163.76E  Elev:  108m
1995 213  8  1 0000  -22.4 1000.9    1.0  295.0  444.0  444.0
1995 213  8  1 0100  -22.5 1000.3    2.2  180.0  444.0  444.0
1995 213  8  1 0200  -21.5  999.1    3.7  216.0  444.0  444.0
1995 213  8  1 0300  -25.6  999.0    9.1  135.0  444.0  444.0
1995 213  8  1 0400  -23.9  999.3    8.6  157.0  444.0  444.0
1995 213  8  1 0500  -22.4  999.3    8.3  150.0  444.0  444.0
1995 213  8  1 0600  -22.4  999.2    6.4  135.0  444.0  444.0
1995 213  8  1 0700  -22.4  999.7    6.4  151.0  444.0  444.0
1995 213  8  1 0800  -24.2  999.3    6.6  140.0  444.0  444.0
1995 213  8  1 0900  -23.6  999.5    4.9  136.0  444.0  444.0
1995 213  8  1 1000  -24.2  999.7    6.4  156.0  444.0  444.0
1995 213  8  1 1100  -23.9  998.8    8.3  164.0  444.0  444.0
1995 213  8  1 1200  -23.9  998.4    8.1  165.0  444.0  444.0
1995 213  8  1 1300  -23.6  997.9    8.8  161.0  444.0  444.0
1995 213  8  1 1400  -24.1  997.4   11.8  171.0  444.0  444.0
1995 213  8  1 1500  -23.9  996.8   10.0  164.0  444.0  444.0
1995 213  8  1 1600  -25.0  996.5   13.2  156.0  444.0  444.0
1995 213  8  1 1700  -25.5  996.0   10.3  147.0  444.0  444.0
1995 213  8  1 1800  -27.6  995.6    8.1  146.0  444.0  444.0
1995 213  8  1 1900  -28.6  996.0    9.6  143.0  444.0  444.0
1995 213  8  1 2000  444.0  444.0  444.0  444.0  444.0  444.0
1995 213  8  1 2100  -27.8  996.2    6.6  147.0  444.0  444.0
1995 213  8  1 2200  -27.9  996.7    4.9  133.0  444.0  444.0
1995 213  8  1 2300  -26.2  996.8    2.0  360.0  444.0  444.0
1995 214  8  2 0000  -26.9  996.1    3.2  293.0  444.0  444.0
1995 214  8  2 0100  444.0  444.0  444.0  444.0  444.0  444.0
1995 214  8  2 0200  -25.0  994.9    4.7  298.0  444.0  444.0
1995 214  8  2 0300  -24.9  994.0    5.4  291.0  444.0  444.0
1995 214  8  2 0400  -25.6  993.5    4.2  310.0  444.0  444.0
1995 214  8  2 0500  -25.4  993.5    3.4  277.0  444.0  444.0
1995 214  8  2 0600  444.0  444.0  444.0  444.0  444.0  444.0
1995 214  8  2 0700  -24.9  993.8    1.5  329.0  444.0  444.0
1995 214  8  2 0800  -27.1  993.8    1.0  153.0  444.0  444.0
1995 214  8  2 0900  -29.9  994.0    1.0  150.0  444.0  444.0
1995 214  8  2 1000  -28.5  994.2    2.5  171.0  444.0  444.0
1995 214  8  2 1100  -26.0  444.0    3.4  261.0  444.0  444.0
