Year: 2019  Month: 06  ID: CBD  ARGOS: 99609  Name: Cape Bird           
Lat: 77.22S  Lon: 166.44E  Elev:   38m
2019 152  6  1 0000  -15.9  999.4    1.7  148.0   86.0  444.0
2019 152  6  1 0100  -15.7 1000.3    2.4   51.3   79.3  444.0
2019 152  6  1 0200  -15.8 1000.8    1.3  329.9   80.8  444.0
2019 152  6  1 0300  -17.5 1001.6    4.0   42.2   80.9  444.0
2019 152  6  1 0400  -18.2 1002.1    3.6   50.4   79.9  444.0
2019 152  6  1 0500  -18.1 1002.8    3.0   31.4   79.8  444.0
2019 152  6  1 0600  -17.8 1003.2    2.6   81.4   80.3  444.0
2019 152  6  1 0700  -17.4 1003.9    3.0   38.3   80.5  444.0
2019 152  6  1 0800  -16.7 1004.8    0.1    2.6   80.6  444.0
2019 152  6  1 0900  -16.6 1005.1    2.5  275.3   79.5  444.0
2019 152  6  1 1000  -16.7 1005.0    1.3  286.8   78.7  444.0
2019 152  6  1 1100  -16.8 1005.1    2.2  290.5   79.8  444.0
2019 152  6  1 1200  -16.9 1005.1    2.0  223.6   80.1  444.0
2019 152  6  1 1300  -17.0 1004.8    2.1  158.9   80.5  444.0
2019 152  6  1 1400  -17.2 1004.5    1.1  110.2   80.5  444.0
2019 152  6  1 1500  -18.2 1004.2    2.2   51.2   81.6  444.0
2019 152  6  1 1600  -18.6 1003.9    2.7   71.9   81.8  444.0
2019 152  6  1 1700  -18.7 1003.5    2.6   64.3   82.2  444.0
2019 152  6  1 1800  -19.4 1002.5    4.4   54.7   82.0  444.0
2019 152  6  1 1900  -19.2 1002.1    4.4   54.1   81.4  444.0
2019 152  6  1 2000  -19.3 1001.9    4.5   49.0   80.9  444.0
2019 152  6  1 2100  -19.2 1001.1    5.5   46.3   81.0  444.0
2019 152  6  1 2200  -19.7 1000.8    5.8   48.2   81.2  444.0
2019 152  6  1 2300  -19.1 1000.2    6.3   42.1   78.1  444.0
2019 153  6  2 0000  -18.8  999.5    5.3   41.2   76.7  444.0
2019 153  6  2 0100  -18.5  998.8    5.7   39.8   75.1  444.0
2019 153  6  2 0200  -18.5  998.3    5.3   54.0   71.5  444.0
2019 153  6  2 0300  -18.6  998.0    4.5   52.3   66.5  444.0
2019 153  6  2 0400  -18.6  997.6    3.9   64.8   62.4  444.0
2019 153  6  2 0500  -18.6  997.4    1.9   74.6   61.6  444.0
2019 153  6  2 0600  -18.7  997.0    1.3   60.9   62.0  444.0
2019 153  6  2 0700  -18.8  996.8    1.0   78.3   62.2  444.0
2019 153  6  2 0800  -18.9  996.2    1.5  103.3   62.8  444.0
2019 153  6  2 0900  -18.9  995.7    1.7  115.3   66.3  444.0
2019 153  6  2 1000  -18.7  995.1    1.4  129.6   71.5  444.0
2019 153  6  2 1100  -18.5  994.4    0.6  107.9   73.1  444.0
2019 153  6  2 1200  -18.4  993.7    2.2   70.7   69.8  444.0
2019 153  6  2 1300  -18.0  993.0    1.1   60.4   68.5  444.0
2019 153  6  2 1400  -17.8  992.3    2.1  179.5   66.1  444.0
2019 153  6  2 1500  -18.6  991.7    2.5   50.3   72.3  444.0
2019 153  6  2 1600  -18.5  991.2    1.8   29.6   75.7  444.0
2019 153  6  2 1700  -19.5  990.5    3.9   33.7   78.1  444.0
2019 153  6  2 1800  -19.8  990.0    2.2   40.2   79.2  444.0
2019 153  6  2 1900  -19.6  989.6    0.2   49.4   80.0  444.0
2019 153  6  2 2000  -19.8  989.4    1.8   32.6   80.4  444.0
2019 153  6  2 2100  -20.3  989.2    1.5   78.7   80.6  444.0
2019 153  6  2 2200  -20.8  989.2    3.3   32.9   81.0  444.0
2019 153  6  2 2300  -21.8  989.4    1.5   65.3   81.1  444.0
2019 154  6  3 0000  -22.3  989.3    3.8  356.6   81.1  444.0
2019 154  6  3 0100  -22.5  988.8    4.3   42.2   80.7  444.0
2019 154  6  3 0200  -23.1  988.6    4.3   48.4   80.0  444.0
2019 154  6  3 0300  -22.4  988.0    6.7  196.5   78.2  444.0
2019 154  6  3 0400  -22.6  988.2    1.6  191.2   75.7  444.0
2019 154  6  3 0500  -22.6  988.2    1.8  135.2   71.9  444.0
2019 154  6  3 0600  -21.8  988.1    9.1  199.0   64.2  444.0
2019 154  6  3 0700  -22.6  988.7    3.9  108.0   65.7  444.0
2019 154  6  3 0800  -22.6  989.1    3.8   83.5   61.5  444.0
2019 154  6  3 0900  -23.0  989.3    1.5   26.5   63.6  444.0
2019 154  6  3 1000  -22.1  988.3    7.8  233.9   63.4  444.0
2019 154  6  3 1100  -23.2  988.5    4.3   16.9   62.9  444.0
2019 154  6  3 1200  -23.3  988.6    0.5  102.7   65.8  444.0
2019 154  6  3 1300  -23.0  988.1    0.8  190.0   67.0  444.0
2019 154  6  3 1400  -22.9  987.6    4.4  189.2   67.5  444.0
2019 154  6  3 1500  -22.8  987.1    2.1  204.1   67.3  444.0
2019 154  6  3 1600  -22.5  986.5    5.9  226.0   68.7  444.0
2019 154  6  3 1700  -22.6  986.0    5.2  227.8   71.2  444.0
2019 154  6  3 1800  -23.3  985.5    2.7  179.1   71.3  444.0
2019 154  6  3 1900  -23.6  985.7    2.5   31.2   71.8  444.0
2019 154  6  3 2000  -24.3  985.2    3.6   63.5   74.2  444.0
2019 154  6  3 2100  -24.9  984.9    3.3   98.1   71.0  444.0
2019 154  6  3 2200  -24.7  984.4    3.3   69.1   71.8  444.0
2019 154  6  3 2300  -24.3  983.9    3.6   59.9   67.7  444.0
2019 155  6  4 0000  -24.7  983.2    2.6   64.4   72.0  444.0
2019 155  6  4 0100  -25.6  982.8    2.8   70.9   70.7  444.0
2019 155  6  4 0200  -25.4  982.1    3.0   62.4   65.2  444.0
2019 155  6  4 0300  -25.1  981.4    4.2   60.1   57.6  444.0
2019 155  6  4 0400  -24.6  980.7    4.8   50.5   43.8  444.0
2019 155  6  4 0500  -25.3  980.2    5.1   45.0   59.7  444.0
2019 155  6  4 0600  -25.7  979.7    4.4   55.6   68.8  444.0
2019 155  6  4 0700  -25.7  979.0    4.6   59.0   71.0  444.0
2019 155  6  4 0800  -25.5  978.5    4.9   58.6   69.7  444.0
2019 155  6  4 0900  -25.5  978.0    4.0   56.1   59.5  444.0
2019 155  6  4 1000  -25.1  977.5    2.6   55.3   50.0  444.0
2019 155  6  4 1100  -25.2  976.9    3.6   52.3   49.5  444.0
2019 155  6  4 1200  -25.7  975.9    3.0   46.1   52.6  444.0
2019 155  6  4 1300  -25.8  975.1    4.8   42.3   62.4  444.0
2019 155  6  4 1400  -25.8  974.5    3.7   15.7   66.1  444.0
2019 155  6  4 1500  -26.6  973.8    6.4   20.2   73.4  444.0
2019 155  6  4 1600  -26.8  973.0    4.8   52.9   75.0  444.0
2019 155  6  4 1700  -26.8  972.4    4.6   42.8   75.4  444.0
2019 155  6  4 1800  -27.0  972.2    3.2   54.7   75.6  444.0
2019 155  6  4 1900  -27.3  972.0    2.1   65.7   75.7  444.0
2019 155  6  4 2000  -27.6  971.8    2.2   91.8   75.6  444.0
2019 155  6  4 2100  -27.7  971.7    1.5  113.1   75.7  444.0
2019 155  6  4 2200  -27.8  971.8    1.9  133.6   75.6  444.0
2019 155  6  4 2300  -27.7  971.8    2.3  125.0   75.3  444.0
2019 156  6  5 0000  -27.0  971.8    1.2  157.2   75.3  444.0
2019 156  6  5 0100  -26.6  971.8    2.2  110.1   75.7  444.0
2019 156  6  5 0200  -27.2  971.8    3.1  114.4   75.6  444.0
2019 156  6  5 0300  -27.0  972.0    3.0  112.6   74.2  444.0
2019 156  6  5 0400  -26.7  972.2    2.7  116.0   74.5  444.0
2019 156  6  5 0500  -26.9  972.4    2.9  117.5   74.4  444.0
2019 156  6  5 0600  -26.3  972.7    2.3  118.9   74.7  444.0
2019 156  6  5 0700  -26.5  972.6    3.8   69.4   75.3  444.0
2019 156  6  5 0800  -25.7  973.3    1.3  331.5   75.0  444.0
2019 156  6  5 0900  -25.9  973.8    1.9  100.0   74.3  444.0
2019 156  6  5 1000  -26.5  974.1    3.9  133.5   70.5  444.0
2019 156  6  5 1100  -27.0  974.1    3.7  132.3   68.3  444.0
2019 156  6  5 1200  -25.9  974.4    3.7  155.3   61.8  444.0
2019 156  6  5 1300  -25.6  974.4    3.3  150.6   59.5  444.0
2019 156  6  5 1400  -26.1  974.7    4.7  137.7   62.0  444.0
2019 156  6  5 1500  -25.7  974.9    2.5  118.5   59.7  444.0
2019 156  6  5 1600  -25.4  975.2    2.4  137.8   65.1  444.0
2019 156  6  5 1700  -25.5  975.4    4.5  142.4   61.4  444.0
2019 156  6  5 1800  -24.4  975.4    5.3  163.8   57.7  444.0
2019 156  6  5 1900  -24.2  975.7    3.1  156.8   49.2  444.0
2019 156  6  5 2000  -24.2  976.0    3.0  144.3   48.6  444.0
2019 156  6  5 2100  -24.1  976.3    4.0  137.5   47.1  444.0
2019 156  6  5 2200  -23.7  976.6    3.5  141.7   45.9  444.0
2019 156  6  5 2300  -23.7  976.6    3.3  134.0   46.5  444.0
2019 157  6  6 0000  -23.6  976.3    3.7  137.1   49.2  444.0
2019 157  6  6 0100  -23.5  976.1    3.0  132.3   49.8  444.0
2019 157  6  6 0200  -23.3  976.1    3.2  101.3   46.9  444.0
2019 157  6  6 0300  -22.3  975.4    7.0   64.1   43.3  444.0
2019 157  6  6 0400  -21.7  975.8    4.9   67.1   41.1  444.0
2019 157  6  6 0500  -21.8  976.2    4.0   73.3   41.1  444.0
2019 157  6  6 0600  -21.7  976.6    3.5   74.2   45.2  444.0
2019 157  6  6 0700  -21.6  977.1    2.3  119.3   52.6  444.0
2019 157  6  6 0800  -21.9  976.7    2.8  128.0   58.6  444.0
2019 157  6  6 0900  -21.0  976.0    2.6   69.5   54.2  444.0
2019 157  6  6 1000  -20.9  975.8    4.7   55.9   59.3  444.0
2019 157  6  6 1100  -20.5  975.5    8.8   33.2   58.1  444.0
2019 157  6  6 1200  -20.0  976.0    5.2   50.0   51.4  444.0
2019 157  6  6 1300  -21.1  976.7    0.3  102.2   62.3  444.0
2019 157  6  6 1400  -21.1  976.5    3.3   22.5   68.7  444.0
2019 157  6  6 1500  -21.6  976.9    2.1   93.6   67.8  444.0
2019 157  6  6 1600  -21.3  977.1    2.2   27.2   70.2  444.0
2019 157  6  6 1700  -21.3  976.0    5.8  358.1   73.9  444.0
2019 157  6  6 1800  -21.6  974.8   10.2   54.0   75.7  444.0
2019 157  6  6 1900  -21.5  975.3    7.0   19.2   77.5  444.0
2019 157  6  6 2000  -21.7  975.3    6.7   44.5   77.8  444.0
2019 157  6  6 2100  -21.8  975.1    7.0   47.5   74.1  444.0
2019 157  6  6 2200  -22.0  975.3    6.6   48.4   74.7  444.0
2019 157  6  6 2300  -22.9  975.9    7.0   37.8   77.1  444.0
2019 158  6  7 0000  -23.0  975.9    6.1   30.5   78.1  444.0
2019 158  6  7 0100  -23.0  975.5    5.7   62.8   78.1  444.0
2019 158  6  7 0200  -22.7  975.1    5.7   45.0   77.6  444.0
2019 158  6  7 0300  -22.9  975.1    5.2   53.0   75.7  444.0
2019 158  6  7 0400  -23.2  974.6    8.7   48.9   77.2  444.0
2019 158  6  7 0500  -23.4  975.6    6.0   50.6   77.8  444.0
2019 158  6  7 0600  -24.2  975.5    7.2   37.7   77.8  444.0
2019 158  6  7 0700  -25.0  976.4    5.9   44.5   77.8  444.0
2019 158  6  7 0800  -25.3  976.3    6.1   45.2   77.8  444.0
2019 158  6  7 0900  -25.0  977.0    4.9   49.4   77.9  444.0
2019 158  6  7 1000  -24.8  977.2    4.3   62.1   77.7  444.0
2019 158  6  7 1100  -24.4  977.2    4.0   61.8   76.9  444.0
2019 158  6  7 1200  -24.6  976.9    4.8   57.2   77.1  444.0
2019 158  6  7 1300  -24.2  976.5    3.0   48.7   75.1  444.0
2019 158  6  7 1400  -24.0  976.6    3.1   39.8   76.6  444.0
2019 158  6  7 1500  -23.1  976.6    2.3   75.2   66.8  444.0
2019 158  6  7 1600  -23.0  976.7    2.9   60.1   65.1  444.0
2019 158  6  7 1700  -23.4  976.7    2.9   62.3   69.7  444.0
2019 158  6  7 1800  -23.7  976.8    1.5   83.8   71.6  444.0
2019 158  6  7 1900  -23.4  976.6    1.0  169.2   70.8  444.0
2019 158  6  7 2000  -23.0  976.3    2.8  172.6   74.6  444.0
2019 158  6  7 2100  -20.3  976.6    6.7  184.0   61.5  444.0
2019 158  6  7 2200  -19.8  977.0    5.2  175.5   53.6  444.0
2019 158  6  7 2300  -21.0  977.5    1.8   89.9   63.0  444.0
2019 159  6  8 0000  -21.0  977.6    1.0  127.5   59.4  444.0
2019 159  6  8 0100  -20.8  977.5    0.7  150.2   58.1  444.0
2019 159  6  8 0200  -21.4  977.2    1.8  111.2   58.7  444.0
2019 159  6  8 0300  -21.5  977.2    1.6   95.5   58.5  444.0
2019 159  6  8 0400  -22.2  977.3    2.8   46.5   63.1  444.0
2019 159  6  8 0500  -22.8  977.5    3.8   45.2   72.7  444.0
2019 159  6  8 0600  -23.3  977.7    4.8   49.2   76.2  444.0
2019 159  6  8 0700  -23.1  978.0    4.2   53.5   77.8  444.0
2019 159  6  8 0800  -23.0  978.0    3.9   47.9   77.5  444.0
2019 159  6  8 0900  -23.2  978.5    3.3   79.4   76.5  444.0
2019 159  6  8 1000  -22.4  978.6    1.2  106.7   53.1  444.0
2019 159  6  8 1100  -23.0  978.9    2.5   60.1   64.7  444.0
2019 159  6  8 1200  -23.3  979.0    1.4   72.8   70.9  444.0
2019 159  6  8 1300  -23.4  979.1    1.5   70.2   72.6  444.0
2019 159  6  8 1400  -23.5  978.8    0.9  128.6   69.5  444.0
2019 159  6  8 1500  -23.3  978.6    2.4  142.0   72.1  444.0
2019 159  6  8 1600  -23.0  978.5    1.9  112.4   74.0  444.0
2019 159  6  8 1700  -23.0  978.7    1.5   68.7   72.8  444.0
2019 159  6  8 1800  -22.5  978.9    1.5  126.6   72.0  444.0
2019 159  6  8 1900  -22.2  978.9    2.3  107.9   64.8  444.0
2019 159  6  8 2000  -22.4  978.8    2.0  124.5   61.5  444.0
2019 159  6  8 2100  -21.5  978.6    2.8  172.8   59.6  444.0
2019 159  6  8 2200  -20.9  978.0    5.2  182.2   64.1  444.0
2019 159  6  8 2300  -19.6  977.5    6.0  203.0   56.9  444.0
2019 160  6  9 0000  -19.7  977.1    7.0  198.4   53.1  444.0
2019 160  6  9 0100  -20.1  976.8    4.6  186.5   53.4  444.0
2019 160  6  9 0200  -20.3  976.1    4.9  216.7   59.0  444.0
2019 160  6  9 0300  -20.8  976.0    0.7   88.9   62.9  444.0
2019 160  6  9 0400  -21.4  975.9    2.3   36.6   72.2  444.0
2019 160  6  9 0500  -21.4  975.5    2.5   68.5   74.6  444.0
2019 160  6  9 0600  -20.7  974.5    2.7   70.4   64.0  444.0
2019 160  6  9 0700  -19.9  974.1    5.6   60.4   71.5  444.0
2019 160  6  9 0800  -21.6  973.8    5.4   35.2   71.0  444.0
2019 160  6  9 0900  -21.0  973.3    3.9   52.4   76.2  444.0
2019 160  6  9 1000  -21.8  971.8   10.2   31.6   71.7  444.0
2019 160  6  9 1100  -22.5  972.8    8.4   29.0   71.6  444.0
2019 160  6  9 1200  -23.0  972.2    8.1   37.8   74.2  444.0
