Year: 2015  Month: 08  ID: CBD  ARGOS: 99504  Name: Cape Bird           
Lat: 77.22S  Lon: 166.44E  Elev:   38m
2015 213  8  1 0000  -25.4  984.2    4.3  161.2   73.4  444.0
2015 213  8  1 0100  -24.8  985.1    3.7  151.2   74.2  444.0
2015 213  8  1 0200  -24.8  985.1    2.5   89.9   74.0  444.0
2015 213  8  1 0300  -25.8  985.3    7.0   76.3   73.0  444.0
2015 213  8  1 0400  -28.0  986.2    6.4   62.8   73.8  444.0
2015 213  8  1 0500  -27.0  987.4    7.5   93.2   54.5  444.0
2015 213  8  1 0600  -26.9  988.0    8.6   97.2   56.4  444.0
2015 213  8  1 0700  -27.1  988.9    9.5   92.9   61.3  444.0
2015 213  8  1 0800  -27.5  990.2    8.3   74.0   70.3  444.0
2015 213  8  1 0900  -26.0  992.1    8.3   84.5   71.6  444.0
2015 213  8  1 1000  -26.6  993.3    7.2   71.1   74.8  444.0
2015 213  8  1 1100  -27.3  994.5    6.9   83.0   76.0  444.0
2015 213  8  1 1200  -27.5  996.1    6.7   76.3   71.8  444.0
2015 213  8  1 1300  -27.8  997.1    6.1   75.4   72.7  444.0
2015 213  8  1 1400  -28.1  997.9    5.8   71.6   72.2  444.0
2015 213  8  1 1500  -27.8  998.7    4.1   71.7   71.0  444.0
2015 213  8  1 1600  -27.8  998.8    4.0   71.3   70.5  444.0
2015 213  8  1 1700  -27.9  998.7    5.5   81.6   69.5  444.0
2015 213  8  1 1800  -27.8  998.3    8.1   86.1   73.0  444.0
2015 213  8  1 1900  -27.5  998.1    6.0   68.3   72.5  444.0
2015 213  8  1 2000  -27.2  998.2    3.4   81.6   68.7  444.0
2015 213  8  1 2100  -27.0  998.2    4.5   77.1   66.9  444.0
2015 213  8  1 2200  -27.8  998.7    2.2   75.1   73.0  444.0
2015 213  8  1 2300  444.0  444.0  444.0  444.0  444.0  444.0
2015 214  8  2 0000  444.0  444.0  444.0  444.0  444.0  444.0
2015 214  8  2 0100  444.0  444.0  444.0  444.0  444.0  444.0
2015 214  8  2 0200  444.0  444.0  444.0  444.0  444.0  444.0
2015 214  8  2 0300  444.0  444.0  444.0  444.0  444.0  444.0
