Year: 2020  Month: 01  ID: CBD  ARGOS: 99609  Name: Cape Bird           
Lat: 77.22S  Lon: 166.44E  Elev:   38m
2020   1  1  1 0000   -1.3 1001.5    4.3   15.9   73.7  444.0
2020   1  1  1 0100   -1.2 1001.4    4.3   11.8   74.3  444.0
2020   1  1  1 0200   -1.3 1001.5    4.7   11.6   74.8  444.0
2020   1  1  1 0300   -1.4 1001.3    5.0   16.6   75.5  444.0
2020   1  1  1 0400   -1.1 1001.4    4.3   23.5   69.5  444.0
2020   1  1  1 0500   -0.9 1001.4    4.4   20.9   72.0  444.0
2020   1  1  1 0600   -1.0 1001.4    4.4   18.1   72.0  444.0
2020   1  1  1 0700   -0.6 1001.1    4.3   20.9   71.0  444.0
2020   1  1  1 0800   -1.2 1001.1    4.0   41.4   69.5  444.0
2020   1  1  1 0900   -1.3 1001.0    3.9   45.2   64.3  444.0
2020   1  1  1 1000   -1.5 1000.7    4.0   39.6   70.2  444.0
2020   1  1  1 1100   -1.7 1000.2    3.8   42.5   71.4  444.0
2020   1  1  1 1200   -2.0  999.6    3.8   58.6   72.0  444.0
2020   1  1  1 1300   -2.2  999.1    4.5   57.1   73.5  444.0
2020   1  1  1 1400   -2.2  998.7    3.6   63.0   74.6  444.0
2020   1  1  1 1500   -2.5  997.9    3.2   58.7   74.6  444.0
2020   1  1  1 1600   -2.4  997.4    3.0   75.1   75.0  444.0
2020   1  1  1 1700   -2.4  996.9    3.6   62.8   74.5  444.0
2020   1  1  1 1800   -2.0  996.7    3.4   55.3   71.0  444.0
2020   1  1  1 1900   -1.7  996.3    3.1   60.8   72.8  444.0
2020   1  1  1 2000   -1.5  995.9    3.0   45.1   73.2  444.0
2020   1  1  1 2100   -1.2  995.7    2.3   45.3   73.5  444.0
2020   1  1  1 2200   -1.0  995.3    3.1   35.4   67.1  444.0
2020   1  1  1 2300   -0.6  994.9    2.6   39.8   63.3  444.0
2020   2  1  2 0000    0.2  994.5    3.0   17.6   55.2  444.0
2020   2  1  2 0100   -0.3  993.6    3.8   18.8   70.8  444.0
2020   2  1  2 0200    0.1  992.7    3.7   24.6   62.0  444.0
2020   2  1  2 0300    0.3  991.7    4.4   23.0   58.2  444.0
2020   2  1  2 0400    0.2  991.3    4.5   41.0   48.3  444.0
2020   2  1  2 0500    0.7  990.9    4.6   35.0   43.6  444.0
2020   2  1  2 0600    0.3  990.2    5.7   30.3   57.7  444.0
2020   2  1  2 0700   -0.0  989.7    5.6   31.6   68.7  444.0
2020   2  1  2 0800   -0.0  989.4    6.4   28.1   74.3  444.0
