Year: 2023  Month: 04  ID: CBD  ARGOS: 99609  Name: Cape Bird           
Lat: 77.22S  Lon: 166.44E  Elev:   38m
2023  91  4  1 0000  -14.8 1008.0    5.4   55.3   58.6  444.0
2023  91  4  1 0100  -13.6 1008.2    3.5   57.4   42.6  444.0
2023  91  4  1 0200  -13.0 1008.4    3.1  100.0   38.5  444.0
2023  91  4  1 0300  -12.9 1008.3    4.4   58.0   39.8  444.0
2023  91  4  1 0400  -12.4 1008.2    5.1   52.0   34.2  444.0
2023  91  4  1 0500  -13.9 1008.3    5.0   46.7   56.1  444.0
2023  91  4  1 0600  -14.2 1008.4    3.5   62.4   49.0  444.0
2023  91  4  1 0700  -14.3 1007.8    3.8   71.1   42.5  444.0
2023  91  4  1 0800  -14.1 1007.7    3.4   54.3   38.7  444.0
2023  91  4  1 0900  -14.6 1007.6    5.4   44.6   45.0  444.0
2023  91  4  1 1000  -14.3 1007.6    5.8   50.8   37.7  444.0
2023  91  4  1 1100  -14.0 1006.9    6.4   54.6   40.2  444.0
2023  91  4  1 1200  -14.4 1006.4    6.2   40.6   40.0  444.0
2023  91  4  1 1300  -13.9 1006.3    6.0   38.7   35.6  444.0
2023  91  4  1 1400  -14.2 1005.6    5.7   39.1   37.6  444.0
2023  91  4  1 1500  -13.7 1005.3    8.5   45.0   32.3  444.0
2023  91  4  1 1600  -13.4 1004.9    6.2   27.2   35.5  444.0
2023  91  4  1 1700  -15.0 1004.3    8.5   36.8   49.9  444.0
2023  91  4  1 1800  -14.2 1003.8    8.3   30.4   39.9  444.0
2023  91  4  1 1900  -14.4 1004.5    3.3   34.5   42.1  444.0
2023  91  4  1 2000  -18.3 1004.8    4.1  194.8   66.2  444.0
2023  91  4  1 2100  -16.4 1005.3    2.6  181.8   52.8  444.0
2023  91  4  1 2200  -16.8 1005.9    1.5  204.5   68.4  444.0
2023  91  4  1 2300  -16.4 1006.8    2.4   88.3   64.9  444.0
2023  92  4  2 0000  -16.6 1007.2    1.7  201.6   64.3  444.0
2023  92  4  2 0100  -17.3 1007.7    1.3  205.4   73.7  444.0
2023  92  4  2 0200  -16.6 1008.1    0.8  189.0   76.2  444.0
2023  92  4  2 0300  -16.0 1008.8    0.4  140.0   76.0  444.0
2023  92  4  2 0400  -18.1 1009.5    0.3   25.0   77.6  444.0
2023  92  4  2 0500  -17.9 1009.8    3.0   30.3   80.5  444.0
2023  92  4  2 0600  -17.4 1010.5    2.7   57.2   82.3  444.0
2023  92  4  2 0700  -17.7 1011.1    2.3  162.9   83.5  444.0
2023  92  4  2 0800  -17.7 1011.1    4.0  183.1   83.3  444.0
2023  92  4  2 0900  -16.4 1012.1    1.6  171.6   79.9  444.0
2023  92  4  2 1000  -15.5 1012.1    2.5  176.7   66.6  444.0
2023  92  4  2 1100  -16.6 1012.3    1.8  195.5   65.4  444.0
2023  92  4  2 1200  -15.2 1012.6    1.3  117.6   56.1  444.0
2023  92  4  2 1300  -16.9 1013.1    6.9   33.5   78.2  444.0
2023  92  4  2 1400  -17.5 1013.4    7.0   42.6   83.9  444.0
2023  92  4  2 1500  -17.1 1013.9    5.2   33.7   85.9  444.0
2023  92  4  2 1600  -16.8 1014.0    4.4   34.5   87.2  444.0
2023  92  4  2 1700  -16.5 1014.3    3.8   10.3   88.4  444.0
2023  92  4  2 1800  -16.5 1014.7    1.6  345.5   88.8  444.0
2023  92  4  2 1900  -16.4 1014.7    0.7  118.2   88.5  444.0
2023  92  4  2 2000  -16.1 1014.7    1.8  137.2   88.0  444.0
2023  92  4  2 2100  -16.1 1014.7    3.0  180.8   87.2  444.0
2023  92  4  2 2200  -15.9 1014.7    3.6  199.7   86.9  444.0
2023  92  4  2 2300  -15.9 1014.8    5.8  177.1   85.1  444.0
