Year: 2015  Month: 09  ID: CBD  ARGOS: 99504  Name: Cape Bird           
Lat: 77.22S  Lon: 166.44E  Elev:   38m
2015 244  9  1 0000  -23.5  967.7    4.6  148.6   73.5  444.0
2015 244  9  1 0100  -22.8  969.4    4.5  151.1   64.6  444.0
2015 244  9  1 0200  -25.4  971.3    2.1   87.3   77.5  444.0
2015 244  9  1 0300  -25.2  971.7    4.8   94.3   77.7  444.0
2015 244  9  1 0400  -25.1  973.3    3.0   79.9   70.7  444.0
2015 244  9  1 0500  -24.8  973.2    1.5   82.3   69.7  444.0
2015 244  9  1 0600  -23.0  972.6    3.6  131.4   44.9  444.0
2015 244  9  1 0700  -22.6  973.0    4.2  145.8   38.0  444.0
2015 244  9  1 0800  -21.9  972.5   13.5  154.2   29.6  444.0
2015 244  9  1 0900  -21.7  972.2   17.9  159.0   50.0  444.0
2015 244  9  1 1000  -22.9  973.9   16.3  156.5   39.1  444.0
2015 244  9  1 1100  -23.3  976.2    6.7  149.0   49.7  444.0
2015 244  9  1 1200  -23.5  976.6    6.0  155.7   49.4  444.0
2015 244  9  1 1300  -23.6  976.3    5.4  153.6   52.3  444.0
2015 244  9  1 1400  -24.2  976.5    4.7  153.2   54.4  444.0
2015 244  9  1 1500  -24.3  976.2    5.0  153.4   57.6  444.0
2015 244  9  1 1600  -24.2  976.3    5.4  160.0   62.6  444.0
2015 244  9  1 1700  -24.6  975.8    5.8  155.4   58.9  444.0
2015 244  9  1 1800  -24.6  975.7    5.1  156.6   52.3  444.0
2015 244  9  1 1900  -24.5  975.8    5.9  147.7   50.4  444.0
2015 244  9  1 2000  -24.5  976.0    5.4  148.3   44.4  444.0
2015 244  9  1 2100  -24.4  976.7    4.6  144.9   53.5  444.0
2015 244  9  1 2200  -25.0  977.2    3.1  116.5   60.1  444.0
2015 244  9  1 2300  -24.8  977.4    1.7  103.5   61.9  444.0
2015 245  9  2 0000  -24.9  977.9    0.8  107.9   66.3  444.0
2015 245  9  2 0100  -24.7  978.0    2.0  117.2   64.7  444.0
2015 245  9  2 0200  -24.9  978.2    2.3  125.2   66.6  444.0
2015 245  9  2 0300  -25.2  978.6    2.4  118.9   64.6  444.0
2015 245  9  2 0400  -25.8  979.4    7.5   75.9   72.3  444.0
2015 245  9  2 0500  -26.0  980.0    2.7  114.5   74.6  444.0
2015 245  9  2 0600  -25.5  980.0    1.9  145.9   71.5  444.0
2015 245  9  2 0700  -25.2  980.5    1.8  142.8   74.3  444.0
2015 245  9  2 0800  -24.8  980.6    1.2  141.6   74.9  444.0
2015 245  9  2 0900  -24.7  981.0    0.9  119.2   74.7  444.0
2015 245  9  2 1000  -24.4  980.9    3.3  202.7   75.8  444.0
2015 245  9  2 1100  -25.0  981.3    6.1   84.6   73.9  444.0
2015 245  9  2 1200  -26.1  981.8    7.9   80.5   74.2  444.0
2015 245  9  2 1300  -26.1  982.3    5.8   98.3   74.0  444.0
2015 245  9  2 1400  -26.0  982.5    6.2   84.5   73.7  444.0
2015 245  9  2 1500  -26.6  982.6    7.3   81.4   73.3  444.0
2015 245  9  2 1600  -26.7  982.9    7.6   80.3   73.8  444.0
2015 245  9  2 1700  -26.9  983.9    5.6   80.3   74.8  444.0
2015 245  9  2 1800  -27.1  983.6    4.7   88.7   74.7  444.0
2015 245  9  2 1900  -27.2  983.7    3.7   88.7   72.5  444.0
2015 245  9  2 2000  -26.9  983.9    2.3  106.1   64.2  444.0
2015 245  9  2 2100  -27.5  984.8    2.4   84.7   65.5  444.0
2015 245  9  2 2200  -27.8  985.2    9.0   64.8   73.6  444.0
2015 245  9  2 2300  -27.0  986.0    7.0   46.0   72.5  444.0
2015 246  9  3 0000  -27.3  986.5    2.6  115.4   60.9  444.0
2015 246  9  3 0100  -27.6  987.8    1.4   33.1   57.3  444.0
2015 246  9  3 0200  -28.1  988.2    2.6  113.7   54.5  444.0
2015 246  9  3 0300  -28.1  988.6    1.9  120.0   54.1  444.0
2015 246  9  3 0400  -26.2  988.9    3.0  131.3   58.4  444.0
2015 246  9  3 0500  -26.2  988.9    3.5  138.9   64.6  444.0
2015 246  9  3 0600  -25.9  989.3    3.0  151.6   65.0  444.0
2015 246  9  3 0700  -25.9  989.6    2.8  145.1   60.5  444.0
2015 246  9  3 0800  -25.7  989.9    2.3  150.6   52.7  444.0
2015 246  9  3 0900  -25.6  990.0    2.5  150.0   48.2  444.0
2015 246  9  3 1000  -25.5  989.9    2.0  148.8   50.0  444.0
2015 246  9  3 1100  -25.6  990.1    2.7  147.3   56.2  444.0
2015 246  9  3 1200  -25.6  989.6    2.8  142.9   45.7  444.0
2015 246  9  3 1300  -25.9  989.7    3.8  134.0   57.8  444.0
2015 246  9  3 1400  -26.0  989.6    3.7  133.3   48.8  444.0
2015 246  9  3 1500  -26.4  989.6    3.2  131.9   51.0  444.0
2015 246  9  3 1600  -26.2  989.5    3.5  133.4   43.0  444.0
2015 246  9  3 1700  -26.6  989.3    3.5  131.6   44.9  444.0
2015 246  9  3 1800  -26.0  989.5    3.4  137.2   52.3  444.0
2015 246  9  3 1900  -26.1  989.6    3.2  127.7   49.5  444.0
2015 246  9  3 2000  -25.8  989.7    2.9  145.3   55.5  444.0
2015 246  9  3 2100  -26.0  990.1    2.8  135.8   54.2  444.0
2015 246  9  3 2200  -26.4  990.2    3.3  131.5   52.3  444.0
2015 246  9  3 2300  -26.3  990.2    3.3  133.4   43.6  444.0
2015 247  9  4 0000  -26.5  990.4    3.3  131.9   41.3  444.0
2015 247  9  4 0100  -26.4  990.2    3.1  134.2   42.5  444.0
2015 247  9  4 0200  -26.7  990.1    3.2  123.9   39.0  444.0
2015 247  9  4 0300  -26.4  990.3    1.7  149.6   44.0  444.0
2015 247  9  4 0400  -25.9  990.4    2.9  147.0   48.2  444.0
2015 247  9  4 0500  -25.4  990.3    2.6  148.6   49.3  444.0
2015 247  9  4 0600  -25.7  990.0    2.8  138.9   50.2  444.0
2015 247  9  4 0700  -26.1  989.8    2.2  130.8   57.7  444.0
2015 247  9  4 0800  -25.8  989.8    3.5  154.7   58.3  444.0
2015 247  9  4 0900  -25.6  989.7    3.8  165.3   54.4  444.0
2015 247  9  4 1000  -25.7  990.0    4.6  153.4   58.8  444.0
2015 247  9  4 1100  -25.3  990.1    2.5  154.8   47.6  444.0
2015 247  9  4 1200  -25.3  990.1    0.6  144.0   52.2  444.0
2015 247  9  4 1300  -24.9  990.1    2.2  157.9   33.9  444.0
2015 247  9  4 1400  -25.2  990.1    3.6  163.4   30.8  444.0
2015 247  9  4 1500  -25.9  989.8    3.1  167.8   43.5  444.0
2015 247  9  4 1600  -24.8  987.6   14.0  154.1   44.8  444.0
2015 247  9  4 1700  -24.6  989.1    9.7  164.2   52.8  444.0
2015 247  9  4 1800  -26.5  989.7    9.1  176.3   69.4  444.0
2015 247  9  4 1900  -25.6  989.9    9.9  174.2   75.9  444.0
2015 247  9  4 2000  -24.9  988.4   14.4  174.5   80.8  444.0
2015 247  9  4 2100  -24.1  987.3   18.7  164.0   81.0  444.0
2015 247  9  4 2200  -23.0  988.9   14.5  163.0   60.9  444.0
2015 247  9  4 2300  -22.9  988.9   15.0  160.7   59.4  444.0
2015 248  9  5 0000  -22.7  990.0   14.6  165.2   64.2  444.0
2015 248  9  5 0100  -22.7  990.6   13.0  159.3   63.8  444.0
2015 248  9  5 0200  -22.0  991.0   12.6  165.3   62.5  444.0
2015 248  9  5 0300  -22.2  990.0   17.9  159.6   56.5  444.0
2015 248  9  5 0400  -22.3  990.9   18.5  166.5   57.1  444.0
2015 248  9  5 0500  -22.4  992.5   14.0  165.6   59.4  444.0
2015 248  9  5 0600  -22.6  994.1   11.2  158.3   43.0  444.0
2015 248  9  5 0700  -26.5  995.5    9.5   73.6   67.3  444.0
2015 248  9  5 0800  -27.2  997.4    8.1   72.8   68.8  444.0
2015 248  9  5 0900  -27.6  998.2    6.9   69.4   67.2  444.0
2015 248  9  5 1000  -28.3  999.5    5.6   68.3   71.0  444.0
2015 248  9  5 1100  -28.2 1000.3    3.7   87.1   72.2  444.0
2015 248  9  5 1200  -28.6 1000.7    4.1   91.5   74.2  444.0
2015 248  9  5 1300  -29.1 1000.7    2.9  104.0   75.6  444.0
2015 248  9  5 1400  -28.6 1000.6    1.7   75.3   75.6  444.0
2015 248  9  5 1500  -29.3 1000.8    4.9   80.4   75.9  444.0
2015 248  9  5 1600  -28.8 1001.0    4.8   74.0   71.5  444.0
2015 248  9  5 1700  -28.8 1001.5    4.2   78.3   70.5  444.0
2015 248  9  5 1800  -28.9 1001.9    2.9   73.7   73.8  444.0
2015 248  9  5 1900  -28.3 1002.2    1.6  163.0   71.5  444.0
2015 248  9  5 2000  -28.7 1002.6    1.2  127.3   71.4  444.0
2015 248  9  5 2100  -28.8 1002.9    6.2   59.6   74.6  444.0
2015 248  9  5 2200  -29.2 1002.8    6.5   62.6   75.6  444.0
2015 248  9  5 2300  -29.2 1003.1    5.3   68.7   74.5  444.0
2015 249  9  6 0000  -29.2 1003.0    4.9   69.5   74.3  444.0
2015 249  9  6 0100  -28.9 1002.7    2.2   77.6   73.2  444.0
2015 249  9  6 0200  -29.2 1002.5    6.1   67.1   72.6  444.0
2015 249  9  6 0300  -29.0 1002.2    5.8   67.4   73.0  444.0
