2010	1166.5968934013845 1166.5968934013845 1166.5968934013845 1166.5968934013845 1167.6263285634109 1185.1360822805998 1672.2436093036667 1672.2436093036667 1751.5344688437224 2431.351230081805 2431.351230081805 2433.411379181859 2433.411379181859 2433.411379181859 2433.411379181859 2433.411379181859 2433.411379181859 2434.4409390484725 2434.4409390484725 2434.4409390484725 2434.4409390484725 2434.4409390484725 2434.4409390484725 2435.4706727412554
2011	224.7732427107943 224.7732427107943 224.7732427107943 224.7732427107943 224.7732427107943 313.3422245433591 1324.8546213099844 1410.3876902944335 1984.4178479648508 1993.6903705889426 2293.454572933594 2295.514389754145 2313.023322141743 2313.023322141743 2313.023322141743 2322.2930572123632 2325.3826408161253 2326.412257896941 2378.933388070457 2378.933388070457 2378.933388070457 2378.933388070457 2378.933388070457 2378.933388070457
2012	498.84761057389784 498.84761057389784 498.84761057389784 498.84761057389784 500.9066922054452 521.5001259282221 537.9738573945451 877.7834214406607 879.8441882962646 909.7052222767844 996.246600919081 1073.5269576566266 2438.6590683455956 2438.6590683455956 2438.6590683455956 2438.6590683455956 2439.689903088861 2440.719705977252 2442.7803220251976 2442.7803220251976 2443.810007210501 2443.810007210501 2443.810007210501 2444.8396415907596
2013	499.8954887924358 499.8954887924358 499.8954887924358 499.8954887924358 499.8954887924358 518.4253493225588 966.3737414911247 1455.9239860120833 1456.9549674540408 1866.9202729802985 1868.981065997009 2151.2971449261386 2151.2971449261386 2320.2269711431404 2320.2269711431404 2321.2567151793446 2330.52517157375 2330.52517157375 2330.52517157375 2330.52517157375 2330.52517157375 2330.52517157375 2330.52517157375 2330.52517157375
2014	202.0981806537603 202.0981806537603 202.0981806537603 202.0981806537603 202.0981806537603 213.43578790971134 891.2088657444458 1449.5557282314048 2198.6802776417126 2199.7095795203436 2199.7095795203436 2213.100906658945 2434.5318245967796 2434.5318245967796 2434.5318245967796 2434.5318245967796 2434.5318245967796 2448.9485793912627 2452.03768569269 2452.03768569269 2452.03768569269 2461.3043336565756 2471.607108690554 2474.6977608626635
2015	411.34309211288195 411.34309211288195 413.406060552969 413.406060552969 413.406060552969 603.9180252930591 1503.0977606609076 2266.6426507116034 2266.6426507116034 2266.6426507116034 2271.792585562956 2271.792585562956 2289.3037777055215 2289.3037777055215 2290.333824187694 2291.3648056296515 2291.3648056296515 2291.3648056296515 2292.3948185381314 2292.3948185381314 2292.3948185381314 2292.3948185381314 2292.3948185381314 2305.78477220983
2016	180.45960343475727 180.45960343475727 180.45960343475727 180.45960343475727 180.45960343475727 650.1827803669546 2191.4602479366326 2195.5775636950416 2203.812672121902 2321.229226074872 2330.494624424962 2349.0318642436023 2462.325236319849 2902.9752558082187 2902.9752558082187 2902.9752558082187 2902.9752558082187 2902.9752558082187 2902.9752558082187 2902.9752558082187 2904.0053858317783 2904.0053858317783 2909.162997169335 2909.162997169335
2017	429.8600813838654 429.8600813838654 429.8600813838654 444.2818224399325 445.31146322940623 510.1844884695641 591.5505707149632 1271.6322264330843 1563.2569171833325 1563.2569171833325 1563.2569171833325 1563.2569171833325 2268.691665577786 2268.691665577786 2268.691665577786 2268.691665577786 2276.9290269423323 2280.0183781219594 2282.07813548 2288.2578909516687 2300.629348585615 2305.779915657654 2305.779915657654 2318.1389158287884
2019	217.112703 217.112703 217.112703 217.112703 661.053730 661.053730 773.696526 773.696526 1161.926132 1161.926132 1227.720069 1227.720069 2594.782590 2594.782590 2594.782590 2594.782590 2594.782590 2594.782590 2613.244196 2613.244196 2613.244196 2613.24419 2613.244196
2020	560.227750 560.227750 560.227750 560.227750 673.296976 673.296976 705.176944 705.176944 1947.850556 1947.850556 1947.850556 1947.850556 1947.850556 1947.850556 1947.850556 1947.850556 2074.518111 2074.518111 2122.894108 2122.894108 2122.894108 2122.894108 2122.894108 2122.894108
2021	205.785549 205.785549 205.785549 205.785549 805.305460 805.305460 1370.259513 1370.259513 2405.385643 2405.385643 2637.049783 2637.049783 2637.049783 2637.049783 3045.056801 3045.056801 3045.056801 3045.056801 3045.056801 3045.056801 3045.056801 3045.056801 3045.056801 3045.056801
2022	180.278741 180.278741 180.278741 180.278741 285.654035 285.654035 285.654035 285.654035 303.201074 303.201074 303.201074 303.201074 303.201074 303.201074 687.176598 687.176598 2335.443672 2335.443672 2335.443672 2335.443672 2335.443672 2335.443672 2335.443672 2335.443672
2023	395.913035 395.913035 395.913035 395.913035 446.799350 446.799350 1158.374349 1158.374349 1546.005110 1546.005110 1797.781769 1797.781769 3044.972015 3044.972015 3044.972015 3044.972015 3044.972015 3044.972015 3044.972015 3044.972015 3044.972015 3044.972015 3044.972015 3044.972015
2024	292.978189 292.978189 292.978189 292.978189 557.327759 557.327759 582.088214 582.088214 641.968432 641.968432 671.708507 671.708507 671.708507 671.708507 976.494485 976.494485 2598.562479 2598.562479 2598.562479 2598.562479 2598.562479 2598.562479 2598.562479 2598.562479
