"","date","area_comb","n_poly_comb","area_coastal","n_poly_coastal","area_oceanic","n_poly_oceanic","WDLarea_comb","WDLn_poly_comb","WDLarea_coastal","WDLn_poly_coastal","WDLarea_oceanic","WDLn_poly_oceanic","AMDarea_comb","AMDn_poly_comb","AMDarea_coastal","AMDn_poly_coastal","AMDarea_oceanic","AMDn_poly_oceanic","BELarea_comb","BELn_poly_comb","BELarea_coastal","BELn_poly_coastal","BELarea_oceanic","BELn_poly_oceanic","PACarea_comb","PACn_poly_comb","PACarea_coastal","PACn_poly_coastal","PACarea_oceanic","PACn_poly_oceanic","ROSarea_comb","ROSn_poly_comb","ROSarea_coastal","ROSn_poly_coastal","ROSarea_oceanic","ROSn_poly_oceanic","INDarea_comb","INDn_poly_comb","INDarea_coastal","INDn_poly_coastal","INDarea_oceanic","INDn_poly_oceanic"
"12184",2017-01-21,53126.0399428548,6,49375.9945638945,5,3750.04537896028,1,0,0,0,0,0,0,0,0,0,0,0,0,18126.0220865493,3,14375.976707589,2,3750.04537896028,1,35000.0178563054,3,35000.0178563054,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12185",2017-01-22,51252.3281756057,8,47502.2827966455,7,3750.04537896028,1,1875.12319538156,1,1875.12319538156,1,0,0,0,0,0,0,0,0,18751.6585959178,3,15001.6132169575,2,3750.04537896028,1,30625.5463843064,4,30625.5463843064,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12186",2017-01-23,58743.2725483774,9,58743.2725483774,9,0,0,1250.00233609589,2,1250.00233609589,2,0,0,0,0,0,0,0,0,25001.9068086367,3,25001.9068086367,3,0,0,32491.3634036448,4,32491.3634036448,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12187",2017-01-24,33733.7808866109,8,33108.7797068952,7,625.001179715649,1,1250.00234515157,2,1250.00234515157,2,0,0,0,0,0,0,0,0,625.001179715649,1,0,0,625.001179715649,1,31858.7773617437,5,31858.7773617437,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12188",2017-01-25,54376.9234980043,7,54376.9234980043,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23125.5982941594,3,23125.5982941594,3,0,0,31251.3252038449,4,31251.3252038449,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12189",2017-01-26,44364.2205223833,7,43739.2193542662,6,625.001168117065,1,625.001168117065,1,0,0,625.001168117065,1,0,0,0,0,0,0,13126.1393661983,2,13126.1393661983,2,0,0,30613.0799880679,4,30613.0799880679,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12190",2017-01-27,46242.1372368357,6,46242.1372368357,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15625.2411620638,2,15625.2411620638,2,0,0,30616.896074772,4,30616.896074772,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12191",2017-01-28,44984.324610934,5,44984.324610934,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15626.449036629,2,15626.449036629,2,0,0,29357.875574305,3,29357.875574305,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12192",2017-01-29,48116.2373806364,6,48116.2373806364,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16876.4548497995,3,16876.4548497995,3,0,0,31239.7825308369,3,31239.7825308369,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12193",2017-01-30,13126.8724714469,7,13126.8724714469,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8126.82388110568,4,8126.82388110568,4,0,0,5000.0485903412,3,5000.0485903412,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12194",2017-01-31,21250.9712428027,7,21250.9712428027,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11250.7518920382,4,11250.7518920382,4,0,0,10000.2193507646,3,10000.2193507646,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12195",2017-02-01,20625.4882300818,11,20625.4882300818,11,0,0,1875.01794482813,1,1875.01794482813,1,0,0,0,0,0,0,0,0,12500.1655420775,5,12500.1655420775,5,0,0,6250.30474317621,5,6250.30474317621,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12196",2017-02-02,16875.904810808,8,16875.904810808,8,0,0,4375.98808420178,1,4375.98808420178,1,0,0,0,0,0,0,0,0,8749.89562876979,4,8749.89562876979,4,0,0,3750.02109783647,3,3750.02109783647,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12197",2017-02-03,18125.0486171927,9,16875.0430059636,8,1250.00561122919,1,4375.98808420178,1,4375.98808420178,1,0,0,0,0,0,0,0,0,7499.12401637979,3,7499.12401637979,3,0,0,4999.93090538199,4,4999.93090538199,4,0,0,0,0,0,0,0,0,1250.00561122919,1,0,0,1250.00561122919,1
"12198",2017-02-04,14998.0995123654,8,14998.0995123654,8,0,0,625.001183271912,1,625.001183271912,1,0,0,0,0,0,0,0,0,4997.84086480038,2,4997.84086480038,2,0,0,6874.13871998994,4,6874.13871998994,4,0,0,0,0,0,0,0,0,2501.11874430318,1,2501.11874430318,1,0,0
"12199",2017-02-05,14999.3997697475,10,14374.3985976586,9,625.001172088837,1,3124.46270746551,1,3124.46270746551,1,0,0,0,0,0,0,0,0,1875.00719290708,2,1875.00719290708,2,0,0,9374.92869251195,6,8749.92752042311,5,625.001172088837,1,0,0,0,0,0,0,625.001176862915,1,625.001176862915,1,0,0
"12200",2017-02-06,15001.151097035,5,15001.151097035,5,0,0,4375.98808420178,1,4375.98808420178,1,0,0,0,0,0,0,0,0,1250.00601255246,1,1250.00601255246,1,0,0,9375.15700028073,3,9375.15700028073,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12201",2017-02-07,24376.5057863162,8,24376.5057863162,8,0,0,11251.3346400939,1,11251.3346400939,1,0,0,0,0,0,0,0,0,2500.0118023073,2,2500.0118023073,2,0,0,10625.159343915,5,10625.159343915,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12202",2017-02-08,42501.5255380568,10,42501.5255380568,10,0,0,15001.1728044557,1,15001.1728044557,1,0,0,0,0,0,0,0,0,12500.6800678987,2,12500.6800678987,2,0,0,14374.6714947991,6,14374.6714947991,6,0,0,0,0,0,0,0,0,625.001170903347,1,625.001170903347,1,0,0
"12203",2017-02-09,24377.7154799338,9,24377.7154799338,9,0,0,10001.8370453604,1,10001.8370453604,1,0,0,0,0,0,0,0,0,625.001181185333,1,625.001181185333,1,0,0,13125.8760765252,6,13125.8760765252,6,0,0,0,0,0,0,0,0,625.001176862915,1,625.001176862915,1,0,0
"12204",2017-02-10,16875.5330709295,7,16875.5330709295,7,0,0,3750.3508497215,1,3750.3508497215,1,0,0,0,0,0,0,0,0,1875.01814910071,1,1875.01814910071,1,0,0,11250.1640721073,5,11250.1640721073,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12205",2017-02-11,13751.6307815844,6,13751.6307815844,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500.01933001879,2,2500.01933001879,2,0,0,11251.6114515656,4,11251.6114515656,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12206",2017-02-12,5000.53349709532,2,5000.53349709532,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000.53349709532,2,5000.53349709532,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12207",2017-02-13,14376.1049401479,7,14376.1049401479,7,0,0,625.001183271912,1,625.001183271912,1,0,0,0,0,0,0,0,0,2500.44106132603,1,2500.44106132603,1,0,0,10000.6603479759,3,10000.6603479759,3,0,0,0,0,0,0,0,0,1250.002347574,2,1250.002347574,2,0,0
"12208",2017-02-14,20627.7484953778,6,20627.7484953778,6,0,0,2500.59082911456,1,2500.59082911456,1,0,0,0,0,0,0,0,0,3125.44224224411,2,3125.44224224411,2,0,0,13751.7096438741,2,13751.7096438741,2,0,0,0,0,0,0,0,0,1250.00578014499,1,1250.00578014499,1,0,0
