month,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1,,,,,,,,,,,,,,,,,,,,,,,0.02043651694644819,0.0,0.018594402874959715,0.13160949970375935,0.14697531454561497,0.4997353007163451,0.20260455887607118,0.000587172846993556,0.06067975627001034,0.38840472364572415,0.34777761450854416,0.02061672986010475,0.3043018958806434,0.12689515540259594,0.7402666491569748,0.0,0.09916803215294102,0.07841650102127738,0.3747876272977752,0.06398898213243845,0.03238463408137297,0.020103603709528926,0.7636698033379811,0.05123631968154729,0.012600591159589803,0.0022034277220440933,,0.11101894808663292,0.0009164551032107647,0.12648077683522493,0.10318498103123029,0.0,0.3524482778289497,0.16694736217415546,0.003053362542948374,0.12440324232889129,0.4203175924077421,0.34697882598801855,0.34873155519786336
2,,,,,,,,,,,,,,,,,,,,,0.29244033762798055,0.4572529483890021,0.0,0.14717866244569772,0.15652464433347976,0.6513848343960131,0.8254195462381398,0.013068517634085067,0.1160622166528835,1.212166566425072,0.46109293315623956,0.15558458147292636,0.0038095790200221333,0.12245446795128255,0.1214593291361531,0.09036747366694198,0.6230922550662312,0.0,0.45886316303408287,0.03619798253935443,0.0,0.4540346538715493,0.25116631883641877,0.3875438708392346,1.3896567661535024,0.24528142756295143,0.004431954012793146,0.019998520474521646,0.002052936214911863,1.278058030907954,0.4646008078692854,0.085210066019112,0.3426372896528253,0.008344102311550814,0.3729941620951817,0.2816160766786723,0.023862493885634325,0.451678271181501,0.271295107605152,0.2189447561677627,1.004304068580773
3,,,,,,,,,,,,,,,,,,,,,0.2119292094670332,0.06259198476014063,0.1831521298560691,0.24496365067162723,0.48077186133694616,0.27144354078993144,0.22844914828461346,1.0638329766674146,0.09525725565999474,0.35256111469446655,1.8491754931882942,0.11998210540821497,0.09709347497636246,1.1274354162443019,1.2773991824361226,0.3201429042667852,0.44408965639749437,0.18054387294443192,0.05151890205962949,0.832981168299476,0.8388219125321965,0.27792867870953053,0.3948223639217511,0.12550931244038704,0.070614959727034,0.5119018761630783,0.20232493685928546,0.43637960598189574,0.17998717548032236,0.8347022212954253,0.5131319704889277,0.29978715394786215,0.9183631511918467,0.19009188697831075,0.5458246366518911,0.44601234617705954,0.8531372067697881,0.20124697432804625,0.19894103388010845,0.09648133965017529,0.8848896276366347
4,,,,,,,,,,,,,,,,,,,,,0.9931464374218498,0.4463473686016126,1.1866699256483784,0.032465693869760205,0.20603127427857348,0.16282590229405622,0.00011989820972919492,0.493016382848268,0.021379725989504085,0.5146641942544162,0.18798705312529823,0.5794631180696723,1.1687659450408718,0.28510246129954575,0.4791140868136657,0.677126520934049,0.7178518140085094,1.2693679510878957,0.26570276003768634,0.6928004506582865,0.36876064406045794,0.07093947438071431,0.024641379803279725,0.19572286979913794,0.273478907340965,0.16200333528594896,0.36837915437832686,0.06672743340749916,0.5780997066202646,0.138125654998837,0.6364131226291457,0.3973067034653016,0.0460625319361981,0.1347236836815491,0.3039137548820146,0.8214208102001865,1.0472025608013404,1.0101441781348508,0.596561105164245,0.09044398861886546,0.5129481509411838
5,,,,,,,,,,,,,,,,,,,,,,0.8324406851814306,0.5737271866847703,0.4627292156694525,0.051027786137918106,0.88202243862659,0.031005259542419176,0.14824477602010722,0.0,0.13671334350637004,0.07832203468786415,0.1846762783488088,0.2926709538324278,1.2004686950090377,0.6463178710415813,0.062634295546535,1.0320647651510622,0.21948172080554207,0.5652027907855574,1.1168008556367008,0.36854163769428994,0.5570766330964454,0.2249834488398644,0.10400634684214195,0.025186634389884728,0.11735128215532488,0.0674961719530975,1.7644304240337916,0.6864352665779895,0.7220482954028545,0.9942302130176991,0.2014218157638146,1.218458792849069,1.7545118155915536,0.4784790158981266,0.5051393689027549,0.7013329654800126,0.1894034740155977,2.327931120075669,0.17635629939374062,1.093019964872606
6,,,,,,,,,,,,,,,,,,,,,,0.8066433944566384,0.022530743320207398,1.3960602564428837,0.08345341173200967,0.1123719643311157,0.17144957473195854,0.02953414711709149,0.0,0.7480574092122249,0.005645541185118321,0.042526614742729785,0.3532165503224894,0.23850345908695017,1.6544303369842845,0.10336970849317098,0.18391783964713582,0.34971795119673854,0.12585159913537922,0.06131883763078527,1.3946297345120477,0.5437766654215713,0.5656465300756172,0.2407126030153032,1.1569396800637424,0.04029227237099467,0.2690740070873351,0.5191101503386589,0.8988550518920289,0.023299489350391576,0.6083893620087916,0.7331768791069599,0.15898688278875636,0.41143311585725684,0.2793718876193473,2.42378476531251,0.787202549989738,1.7174377182186202,0.2646286923080132,0.12828908182715532,0.5443729447987693
7,,,,,,,,,,,,,,,,,,,,,,0.5254777047826455,0.747047745981178,,0.7342043831058794,0.5901124981649357,0.14397965232398596,0.10384127036500737,0.7976978842282993,0.8994813646811635,0.383683879458643,0.003617487675075885,0.2947117010514408,0.07056874019992553,0.36292044060927736,1.7998707384070538,0.24544492732008472,0.13716786954878954,0.3157819105497216,0.21198685550778215,0.014774977349412893,0.37666419234879533,0.2849089263690151,0.0,0.21438313193049077,0.7357160356139749,0.43728754065510517,0.6707901019515577,0.2602243800318272,0.2639144543177107,0.1699469344878433,1.0238296657748611,0.07324184167832617,0.25115054001032167,0.776562869363829,1.1302853463140596,1.6975843795210426,0.08860837273408553,1.0372415841858031,0.23963480831109468,0.5496899365377519
8,,,,,,,,,,,,,,,,,,,,,,0.08987742434823763,0.07393357804781711,,1.8993441540913083,0.0,0.3765125185938417,0.5411738762827852,0.9060642315183182,0.27184545625352763,0.18605254158531126,0.5750727509393707,1.07201071104647,0.18859545157986482,0.9983500132186331,0.028617934320961595,0.18295334477534678,0.5008028746660453,0.053336052853419275,0.2119733796930203,0.22738180599468677,0.47206243155977545,0.18888228939674653,0.10326021785109336,0.382598970684503,0.1027986684856818,0.6370895859843257,0.6562671383571759,1.094216693043525,0.0005754532153539112,1.5645285493390544,1.1846349955050448,0.1397257774752385,1.419576046336622,0.1036679313265623,2.08769327259188,0.7837834275747482,0.18771170514789584,0.9403705547348191,0.4691372699345853,0.10141402736632679
9,,,,,,,,,,,,,,,,,,,,,,0.6426037148199367,0.040066167457108566,,0.5639445558765007,0.10703177120838141,0.7882437073426395,0.4907567115265452,0.4330322730889896,0.9590144441607396,0.7035200317364063,1.4522138632416122,0.0,0.6392774990411818,0.12780211242498662,0.1976434533159704,0.354947541560402,0.19367123371962708,0.17735158920807145,0.26765327684436596,0.0302641215201405,1.0618694965108648,0.0028518239075515004,0.21925435125512432,0.7876343164935822,0.26455269629836103,0.046989040179253844,0.039900089718607125,0.2937342539620001,0.01882046005790118,0.5092773686877421,0.3277158327418827,0.8348915195341532,0.5880837148361897,0.7573243067917901,0.6797835316836337,0.6424965035919773,1.390996787679995,0.7948417029358069,1.2984280744939047,0.4798569084936882
10,,,,,,,,,,,,,,,,,,,,,,0.8006629419871997,0.7594570305945252,,0.0,1.3147648417639015,0.08069544211237371,1.51149114655997,0.6299148303065214,0.7056781188352174,0.4183011731578718,0.09578497328077541,2.354657379588018,0.09750376022691398,0.17540753745599438,1.5281832454645112,0.8252593618960582,1.470490571783587,0.00927689721582702,0.8751782745912384,0.15016961250151017,0.25325659075219614,0.5582946024585079,0.08218104607291153,0.4585947018638015,0.605403769883508,0.3692940445530977,,0.19282303689153035,0.11247150112523013,0.7569016262190742,0.17320033411147953,0.1848744371326139,0.126148749390871,0.17217482133941434,0.33711035148776086,1.0646204385570344,0.029352809786995997,0.1195878484077695,1.5048231534244803,0.07809673549923354
