freeze_month;area_bb;freeze_month_numeric;
Multi-year;10528766;0;
Multi-year;13178793;0;
Multi-year;16599970;0;
Multi-year;21642807;0;
Multi-year;35268196;0;
Multi-year;51940630;0;
Multi-year;246753873;0;395913035
March;0;3;
March;50886315;3;446799350
April;250171629;4;
April;461403370;4;1158374349
May;387630761;5;1546005110
June;17274877;6;
June;1553678;6;
June;232948104;6;1797781769
July;1247190246;7;3044972015
