freeze_month;area_bb;freeze_month_numeric;
Multi-year;11427416;0;
Multi-year;1190199;0;
Multi-year;204495088;0;217112703
March;443941027;3;661053730
April;5251578;4;
April;42507665;4;
April;106716;4;
April;1106502;4;
April;2589610;4;
April;52192407;4;
April;8888318;4;773696526
May;388229606;5;1161926132
June;63485206;6;
June;2308731;6;1227720069
July;1072;7;
July;1367061449;7;2594782590
October;18461606;10;2613244196
