freeze_month;area_bb;freeze_month_numeric;
Multi-year;8838509;0;
Multi-year;677152;0;
Multi-year;915560;0;
Multi-year;195354328;0;205785549
March;599519911;3;805305460
April;26712110;4;
April;61416492;4;
April;476825451;4;1370259513
May;1035126130;5;2405385643
June;231664140;6;2637049783
August;408007018;8;3045056801
