freeze_month;area_bb;freeze_month_numeric;
Multi-year;232429130;0;
Multi-year;327798620;0;560227750
March;34389667;3;
March;78679559;3;673296976
April;31879968;4;705176944
May;0;5;
May;0;5;
May;1242673612;5;1947850556
September;3338430;9;
September;113006869;9;
September;10322256;9;2074518111
October;48375997;10;2122894108
