freeze_month;area_bb;freeze_month_numeric;
Multi-year;180278741;0;180278741
March;36986275;3;
March;68389019;3;285654035
May;17547039;5;303201074
August;6381005;8;
August;260018803;8;
August;3951452;8;
August;1151479;8;
August;554723;8;
August;178541;8;
August;59728838;8;
August;15203336;8;
August;36807347;8;687176598
September;1648267074;9;2335443672
